player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
dakprescott,QB,5,QB5,19.4,7300.0
tuatagovailoa,QB,6,QB6,19.8,7700.0
c.j.stroud,QB,7,QB7,18.9,7000.0
jaredgoff,QB,8,QB8,18.4,6600.0
justinherbert,QB,9,QB9,18.2,7600.0
samhowell,QB,10,QB10,18.0,6300.0
kylermurray,QB,11,QB11,17.8,6100.0
justinfields,QB,13,QB13,17.2,6900.0
trevorlawrence,QB,15,QB15,16.6,6000.0
jordanlove,QB,18,QB18,15.6,5600.0
willlevis,QB,21,QB21,14.1,5200.0
dorianthompson-robinson,QB,23,QB23,13.5,4500.0
aidano'connell,QB,24,QB24,13.1,4900.0
bryceyoung,QB,25,QB25,12.8,5100.0
kennypickett,QB,26,QB26,12.5,4800.0
tommydevito,QB,27,QB27,12.1,5000.0
p.j.walker,QB,28,QB28,0.0,4900.0
claytontune,QB,29,QB29,0.0,4700.0
austinekeler,RB,2,RB2,19.9,8600.0
travisetiennejr.,RB,3,RB3,16.8,7200.0
jahmyrgibbs,RB,4,RB4,16.1,7000.0
joshjacobs,RB,6,RB6,15.7,6800.0
tonypollard,RB,7,RB7,14.9,6600.0
aaronjones,RB,10,RB10,14.7,6200.0
devinsingletary,RB,11,RB11,14.6,5300.0
de'vonachane,RB,12,RB12,13.8,6600.0
brianrobinsonjr.,RB,14,RB14,13.7,5800.0
saquonbarkley,RB,15,RB15,13.5,7100.0
davidmontgomery,RB,17,RB17,13.2,6500.0
raheemmostert,RB,18,RB18,12.9,6900.0
jamesconner,RB,19,RB19,12.7,5700.0
derrickhenry,RB,20,RB20,12.7,6300.0
jaylenwarren,RB,23,RB23,12.1,5100.0
jeromeford,RB,25,RB25,11.5,5200.0
najeeharris,RB,27,RB27,10.9,5100.0
chubahubbard,RB,30,RB30,9.0,4900.0
kareemhunt,RB,32,RB32,8.7,4900.0
tyjaespears,RB,35,RB35,8.0,4600.0
khalilherbert,RB,36,RB36,7.9,4700.0
ajdillon,RB,37,RB37,7.2,4600.0
d'ontaforeman,RB,38,RB38,6.9,5600.0
ricodowdle,RB,39,RB39,6.9,4600.0
milessanders,RB,44,RB44,5.2,4600.0
joshuakelley,RB,46,RB46,5.1,4600.0
roschonjohnson,RB,49,RB49,4.9,4400.0
mikeboone,RB,51,RB51,4.5,4000.0
mattbreida,RB,54,RB54,3.6,4300.0
tankbigsby,RB,55,RB55,3.5,4200.0
chrisrodriguezjr.,RB,56,RB56,3.2,4000.0
jeffwilsonjr.,RB,57,RB57,2.9,4400.0
raheemblackshear,RB,58,RB58,2.6,4000.0
keaontayingram,RB,59,RB59,2.6,4200.0
ameerabdullah,RB,60,RB60,2.4,4400.0
d'ernestjohnson,RB,62,RB62,2.2,4000.0
pierrestrongjr.,RB,65,RB65,2.0,4000.0
alecingold,RB,66,RB66,1.9,4000.0
zamirwhite,RB,68,RB68,1.3,4200.0
jashauncorbin,RB,74,RB74,0.8,4000.0
antoniogibson,RB,75,RB75,0.8,4700.0
dareogunbowale,RB,76,RB76,0.8,4000.0
craigreynolds,RB,77,RB77,0.6,4600.0
salvonahmed,RB,79,RB79,0.6,4300.0
emanuelwilson,RB,80,RB80,0.5,4000.0
deucevaughn,RB,83,RB83,0.5,4000.0
hunterluepke,RB,85,RB85,0.3,4000.0
derrickgore,RB,88,RB88,0.0,4000.0
isaiahspiller,RB,90,RB90,0.0,4000.0
coreyclement,RB,91,RB91,0.0,4000.0
khariblasingame,RB,92,RB92,0.0,4000.0
darryntonevans,RB,93,RB93,0.0,4000.0
anthonymcfarlandjr.,RB,97,RB97,0.0,4000.0
jakobjohnson,RB,98,RB98,0.0,4000.0
tonyjonesjr.,RB,104,RB104,0.0,4000.0
travishomer,RB,105,RB105,0.0,4000.0
tyreekhill,WR,1,WR1,21.3,9300.0
ceedeelamb,WR,2,WR2,20.4,9200.0
amon-rast.brown,WR,3,WR3,20.1,8800.0
keenanallen,WR,5,WR5,18.6,9000.0
jaylenwaddle,WR,10,WR10,15.0,7600.0
davanteadams,WR,11,WR11,14.9,7900.0
tankdell,WR,13,WR13,14.7,5900.0
terrymclaurin,WR,19,WR19,14.1,5800.0
christiankirk,WR,20,WR20,14.0,6000.0
marquisebrown,WR,21,WR21,13.7,5300.0
deandrehopkins,WR,22,WR22,13.6,6100.0
adamthielen,WR,23,WR23,13.5,7500.0
