player_name,player_team_id,player_position_id,rank_ecr,pos_rank,projected_points,salary
jalenhurts,PHI,QB,1,QB1,21.4,8200.0
brockpurdy,SF,QB,6,QB6,18.5,6100.0
matthewstafford,LAR,QB,18,QB18,14.2,5900.0
joeflacco,CLE,QB,23,QB23,12.7,4600.0
p.j.walker,CLE,QB,28,QB28,0.0,4700.0
christianmccaffrey,SF,RB,1,RB1,22.7,9000.0
kyrenwilliams,LAR,RB,7,RB7,16.0,7200.0
d'andreswift,PHI,RB,18,RB18,13.5,6600.0
jeromeford,CLE,RB,26,RB26,11.5,5500.0
kareemhunt,CLE,RB,27,RB27,11.3,4700.0
roycefreeman,LAR,RB,38,RB38,5.7,4500.0
kennethgainwell,PHI,RB,42,RB42,5.1,4500.0
elijahmitchell,SF,RB,53,RB53,3.6,4300.0
kylejuszczyk,SF,RB,55,RB55,2.9,4000.0
pierrestrongjr.,CLE,RB,61,RB61,1.1,4000.0
bostonscott,PHI,RB,63,RB63,0.9,4000.0
jordanmason,SF,RB,73,RB73,0.3,4500.0
zachevans,LAR,RB,76,RB76,0.0,4000.0
rashaadpenny,PHI,RB,89,RB89,0.0,4000.0
darrellhendersonjr.,FA,RB,90,RB90,0.0,4000.0
tyriondavis-price,SF,RB,93,RB93,0.0,4000.0
a.j.brown,PHI,WR,5,WR5,17.6,8800.0
brandonaiyuk,SF,WR,9,WR9,14.7,7200.0
devontasmith,PHI,WR,11,WR11,14.3,7300.0
deebosamuel,SF,WR,12,WR12,14.2,6200.0
pukanacua,LAR,WR,18,WR18,13.4,7000.0
cooperkupp,LAR,WR,19,WR19,13.3,7800.0
amaricooper,CLE,WR,33,WR33,10.6,5700.0
elijahmoore,CLE,WR,43,WR43,8.8,3500.0
tutuatwell,LAR,WR,59,WR59,6.6,3800.0
cedrictillman,CLE,WR,71,WR71,5.0,3100.0
jauanjennings,SF,WR,73,WR73,4.8,3500.0
olamidezaccheaus,PHI,WR,86,WR86,3.5,3000.0
juliojones,PHI,WR,88,WR88,3.1,3100.0
demarcusrobinson,LAR,WR,103,WR103,1.9,3000.0
quezwatkins,PHI,WR,106,WR106,1.6,3000.0
benskowronek,LAR,WR,112,WR112,1.3,3000.0
davidbell,CLE,WR,113,WR113,1.3,3000.0
ray-raymccloud,SF,WR,117,WR117,0.9,3100.0
ronniebell,SF,WR,122,WR122,0.6,3000.0
jamesproche,CLE,WR,125,WR125,0.5,3000.0
austintrammell,LAR,WR,127,WR127,0.4,3000.0
britaincovey,PHI,WR,139,WR139,0.0,3000.0
chrisconley,SF,WR,140,WR140,0.0,3000.0
georgekittle,SF,TE,2,TE2,12.5,6200.0
davidnjoku,CLE,TE,6,TE6,11.4,4100.0
tylerhigbee,LAR,TE,17,TE17,6.3,3700.0
jackstoll,PHI,TE,37,TE37,2.7,2700.0
harrisonbryant,CLE,TE,52,TE52,1.5,2500.0
jordanakins,CLE,TE,54,TE54,1.4,2500.0
albertokwuegbunam,PHI,TE,64,TE64,0.6,2500.0
davisallen,LAR,TE,67,TE67,0.6,2500.0
charliewoerner,SF,TE,68,TE68,0.5,2500.0
grantcalcaterra,PHI,TE,71,TE71,0.5,2500.0
hunterlong,LAR,TE,76,TE76,0.0,2500.0
brycenhopkins,LAR,TE,80,TE80,0.0,2500.0
dallasgoedert,PHI,TE,81,TE81,0.0,4800.0
rossdwelley,SF,TE,83,TE83,0.0,2500.0
noahtogiai,PHI,TE,86,TE86,0.0,2500.0
rams,LAR,DST,9,DST9,6.9,3700.0
browns,CLE,DST,11,DST11,6.6,3100.0
49ers,SF,DST,13,DST13,5.8,3000.0
eagles,PHI,DST,18,DST18,5.6,2800.0
