player_name,player_team_id,player_position_id,rank_ecr,pos_rank,projected_points,salary
lamarjackson,BAL,QB,6,QB6,19.3,7700.0
justinfields,CHI,QB,7,QB7,18.9,6800.0
jaredgoff,DET,QB,13,QB13,16.0,6400.0
c.j.stroud,HOU,QB,14,QB14,15.8,7600.0
jakebrowning,CIN,QB,15,QB15,15.5,5200.0
gardnerminshew,IND,QB,16,QB16,15.1,5400.0
bakermayfield,TB,QB,17,QB17,14.7,5300.0
desmondridder,ATL,QB,18,QB18,14.2,5000.0
matthewstafford,LAR,QB,19,QB19,13.3,6000.0
derekcarr,NO,QB,20,QB20,12.4,5600.0
joeflacco,CLE,QB,23,QB23,12.7,4700.0
bryceyoung,CAR,QB,26,QB26,11.7,4900.0
trevorlawrence,JAC,QB,27,QB27,10.8,6700.0
zachwilson,NYJ,QB,29,QB29,10.4,4700.0
c.j.beathard,JAC,QB,31,QB31,8.5,4900.0
jameiswinston,NO,QB,32,QB32,6.3,5500.0
trevorsiemian,NYJ,QB,35,QB35,0.0,4700.0
p.j.walker,FA,QB,38,QB38,0.0,4600.0
dorianthompson-robinson,CLE,QB,39,QB39,0.0,4800.0
alvinkamara,NO,RB,2,RB2,18.9,8200.0
zackmoss,IND,RB,3,RB3,17.2,5900.0
bijanrobinson,ATL,RB,5,RB5,16.3,6500.0
rachaadwhite,TB,RB,8,RB8,15.8,6800.0
kyrenwilliams,LAR,RB,10,RB10,15.6,7300.0
joemixon,CIN,RB,11,RB11,15.3,6100.0
jahmyrgibbs,DET,RB,13,RB13,14.6,6600.0
davidmontgomery,DET,RB,15,RB15,14.0,6400.0
travisetiennejr.,JAC,RB,16,RB16,13.4,7000.0
breecehall,NYJ,RB,17,RB17,13.2,6200.0
chubahubbard,CAR,RB,24,RB24,11.6,5600.0
jeromeford,CLE,RB,25,RB25,11.6,5500.0
keatonmitchell,BAL,RB,27,RB27,11.1,4900.0
devinsingletary,HOU,RB,32,RB32,10.0,5700.0
gusedwards,BAL,RB,33,RB33,9.5,5900.0
kareemhunt,CLE,RB,35,RB35,8.9,4800.0
dameonpierce,HOU,RB,36,RB36,8.2,5000.0
