player_name,player_team_id,player_position_id,rank_ecr,pos_rank,projected_points,salary
joshallen,BUF,QB,2,QB2,22.0,8200.0
dakprescott,DAL,QB,4,QB4,20.4,8000.0
brockpurdy,SF,QB,5,QB5,19.5,6800.0
patrickmahomes,KC,QB,6,QB6,18.7,7800.0
matthewstafford,LAR,QB,7,QB7,18.1,6000.0
samhowell,WAS,QB,8,QB8,17.5,6300.0
justinfields,CHI,QB,9,QB9,17.2,7000.0
jordanlove,GB,QB,10,QB10,17.0,6200.0
kylermurray,ARI,QB,15,QB15,15.8,6400.0
tuatagovailoa,MIA,QB,16,QB16,15.5,7900.0
bakermayfield,TB,QB,18,QB18,15.0,5700.0
joeflacco,CLE,QB,20,QB20,14.4,5500.0
willlevis,TEN,QB,21,QB21,14.1,5400.0
tommydevito,NYG,QB,22,QB22,13.9,5000.0
derekcarr,NO,QB,23,QB23,13.7,5800.0
desmondridder,ATL,QB,25,QB25,13.3,5200.0
zachwilson,NYJ,QB,27,QB27,13.1,4900.0
bryceyoung,CAR,QB,30,QB30,12.2,4800.0
baileyzappe,NE,QB,31,QB31,11.8,5000.0
casekeenum,HOU,QB,32,QB32,10.7,4000.0
davismills,HOU,QB,33,QB33,4.0,4900.0
dorianthompson-robinson,CLE,QB,37,QB37,0.0,4800.0
claytontune,ARI,QB,38,QB38,0.0,4600.0
jameiswinston,NO,QB,39,QB39,0.0,5100.0
christianmccaffrey,SF,RB,1,RB1,23.5,9300.0
kyrenwilliams,LAR,RB,2,RB2,19.8,7500.0
alvinkamara,NO,RB,3,RB3,17.1,8600.0
rachaadwhite,TB,RB,4,RB4,16.3,7000.0
saquonbarkley,NYG,RB,5,RB5,16.3,7300.0
bijanrobinson,ATL,RB,6,RB6,16.2,6800.0
tonypollard,DAL,RB,8,RB8,15.8,6700.0
derrickhenry,TEN,RB,11,RB11,15.3,6900.0
ezekielelliott,NE,RB,12,RB12,15.3,5800.0
raheemmostert,MIA,RB,13,RB13,15.3,7100.0
breecehall,NYJ,RB,17,RB17,13.7,6400.0
de'vonachane,MIA,RB,20,RB20,12.7,7200.0
jamescook,BUF,RB,21,RB21,12.4,6300.0
antoniogibson,WAS,RB,22,RB22,12.3,5200.0
chubahubbard,CAR,RB,24,RB24,12.0,5600.0
jamesconner,ARI,RB,27,RB27,11.7,5700.0
jeromeford,CLE,RB,28,RB28,11.5,5500.0
aaronjones,GB,RB,31,RB31,10.2,6500.0
jerickmckinnon,KC,RB,32,RB32,10.8,5100.0
clydeedwards-helaire,KC,RB,33,RB33,9.9,5000.0
devinsingletary,HOU,RB,34,RB34,10.8,5400.0
tyjaespears,TEN,RB,36,RB36,9.1,4800.0
kareemhunt,CLE,RB,37,RB37,8.9,4900.0
d'ontaforeman,CHI,RB,38,RB38,8.8,5000.0
dameonpierce,HOU,RB,42,RB42,7.0,4700.0
tylerallgeier,ATL,RB,43,RB43,7.0,4400.0
milessanders,CAR,RB,44,RB44,6.9,4400.0
jamaalwilliams,NO,RB,47,RB47,5.9,4300.0
ricodowdle,DAL,RB,49,RB49,5.7,4600.0
lataviusmurray,BUF,RB,51,RB51,5.5,4400.0
roschonjohnson,CHI,RB,52,RB52,5.5,4600.0
ajdillon,GB,RB,53,RB53,5.6,5300.0
khalilherbert,CHI,RB,54,RB54,5.1,4700.0
dalvincook,NYJ,RB,56,RB56,5.0,4400.0
jordanmason,SF,RB,57,RB57,4.8,4600.0
chrisrodriguezjr.,WAS,RB,58,RB58,4.4,4500.0
cordarrellepatterson,ATL,RB,60,RB60,4.4,4200.0
tyjohnson,BUF,RB,61,RB61,4.1,4200.0
chaseedmonds,TB,RB,62,RB62,3.9,4400.0
roycefreeman,LAR,RB,64,RB64,3.8,4400.0
mattbreida,NYG,RB,66,RB66,3.3,4600.0
dareogunbowale,HOU,RB,67,RB67,3.2,4000.0
jeffwilsonjr.,MIA,RB,69,RB69,3.2,4300.0
michaelcarter,ARI,RB,70,RB70,2.8,4200.0
kylejuszczyk,SF,RB,71,RB71,2.5,4000.0
emaridemercado,ARI,RB,73,RB73,2.2,4400.0
pierrestrongjr.,CLE,RB,75,RB75,1.8,4500.0
raheemblackshear,CAR,RB,78,RB78,1.6,4000.0
israelabanikanda,NYJ,RB,79,RB79,1.5,4000.0
alecingold,MIA,RB,81,RB81,1.4,4000.0
kevinharris,NE,RB,83,RB83,1.3,4000.0
denericprince,KC,RB,88,RB88,0.8,4000.0
adamprentice,NO,RB,91,RB91,0.6,4000.0
hunterluepke,DAL,RB,92,RB92,0.6,4000.0
seantucker,TB,RB,93,RB93,0.5,4000.0
keithsmith,ATL,RB,94,RB94,0.5,4000.0
kenyandrake,GB,RB,95,RB95,0.5,4000.0
jamycalhasty,NE,RB,96,RB96,0.4,4000.0
leonardfournette,BUF,RB,97,RB97,0.0,4000.0
ericgray,NYG,RB,100,RB100,0.0,4000.0
derrickgore,WAS,RB,101,RB101,0.0,4000.0
khariblasingame,CHI,RB,102,RB102,0.0,4000.0
reggiegilliam,BUF,RB,103,RB103,0.0,4000.0
nickbawden,NYJ,RB,105,RB105,0.0,4000.0
jonathanwilliams,WAS,RB,107,RB107,0.0,4000.0
chrisbrooks,MIA,RB,108,RB108,0.0,4000.0
jonathanward,TEN,RB,110,RB110,0.0,4000.0
darryntonevans,MIA,RB,112,RB112,0.0,4000.0
zachevans,LAR,RB,113,RB113,0.0,4000.0
la'micalperine,KC,RB,114,RB114,0.0,4000.0
jeremymcnichols,SF,RB,115,RB115,0.0,4000.0
