player_name,player_team_id,player_position_id,rank_ecr,pos_rank,projected_points,salary
danieljones,NYG,QB,10,QB10,18.9,6000.0
dakprescott,DAL,QB,11,QB11,18.5,6600.0
aaronrodgers,NYJ,QB,16,QB16,0.0,6400.0
russellwilson,DEN,QB,18,QB18,18.2,5800.0
brockpurdy,SF,QB,22,QB22,14.9,5700.0
matthewstafford,LAR,QB,23,QB23,15.0,5600.0
samhowell,WAS,QB,24,QB24,16.5,5400.0
kylermurray,ARI,QB,30,QB30,0.0,4000.0
jacobybrissett,WAS,QB,33,QB33,0.6,4700.0
samdarnold,SF,QB,36,QB36,1.2,4600.0
treylance,DAL,QB,37,QB37,0.7,4800.0
joshuadobbs,ARI,QB,38,QB38,12.4,5000.0
claytontune,ARI,QB,39,QB39,1.0,4600.0
jarrettstidham,DEN,QB,45,QB45,0.6,4400.0
zachwilson,NYJ,QB,48,QB48,0.8,4900.0
stetsonbennett,LAR,QB,50,QB50,0.0,4400.0
tyrodtaylor,NYG,QB,55,QB55,0.4,4900.0
cooperrush,DAL,QB,57,QB57,0.4,4700.0
brandonallen,SF,QB,84,QB84,0.0,4000.0
jeffdriskel,ARI,QB,86,QB86,0.0,4000.0
brettrypien,LAR,QB,87,QB87,0.2,4400.0
bendinucci,DEN,QB,92,QB92,0.0,4000.0
timboyle,NYJ,QB,98,QB98,0.0,4000.0
jakefromm,WAS,QB,99,QB99,0.0,4000.0
christianmccaffrey,SF,RB,1,RB1,18.4,8900.0
saquonbarkley,NYG,RB,3,RB3,16.5,8000.0
tonypollard,DAL,RB,5,RB5,17.2,7500.0
breecehall,NYJ,RB,15,RB15,8.9,5900.0
jamesconner,ARI,RB,22,RB22,13.8,6200.0
camakers,LAR,RB,24,RB24,12.8,5700.0
javontewilliams,DEN,RB,25,RB25,10.8,5600.0
dalvincook,NYJ,RB,31,RB31,11.1,6000.0
antoniogibson,WAS,RB,32,RB32,10.0,4800.0
brianrobinsonjr.,WAS,RB,35,RB35,10.5,5200.0
samajeperine,DEN,RB,36,RB36,10.2,5100.0
elijahmitchell,SF,RB,45,RB45,6.3,4600.0
kyrenwilliams,LAR,RB,63,RB63,5.7,5000.0
deucevaughn,DAL,RB,69,RB69,4.1,4700.0
michaelcarter,NYJ,RB,71,RB71,2.9,4800.0
keaontayingram,ARI,RB,75,RB75,3.8,4300.0
zachevans,LAR,RB,77,RB77,1.8,4000.0
mattbreida,NYG,RB,81,RB81,2.9,5000.0
israelabanikanda,NYJ,RB,82,RB82,1.2,4300.0
jordanmason,SF,RB,85,RB85,1.7,4200.0
ronaldjones,DAL,RB,88,RB88,0.0,4000.0
tyriondavis-price,SF,RB,89,RB89,0.0,4000.0
ricodowdle,DAL,RB,91,RB91,2.9,4800.0
ericgray,NYG,RB,93,RB93,2.0,4000.0
malikdavis,DAL,RB,98,RB98,0.5,4000.0
chrisrodriguezjr.,WAS,RB,103,RB103,2.0,4000.0
jaleelmclaughlin,DEN,RB,107,RB107,2.8,4000.0
kylejuszczyk,SF,RB,112,RB112,2.1,4000.0
ronnierivers,LAR,RB,118,RB118,1.2,4000.0
emaridemercado,ARI,RB,123,RB123,1.5,4000.0
garybrightwell,NYG,RB,129,RB129,1.2,4500.0
coreyclement,ARI,RB,130,RB130,0.1,4000.0
tylerbadie,DEN,RB,140,RB140,0.0,4000.0
michaelburton,DEN,RB,145,RB145,0.7,4000.0
hunterluepke,DAL,RB,146,RB146,0.2,4000.0
nickbawden,NYJ,RB,148,RB148,0.2,4000.0
roycefreeman,LAR,RB,157,RB157,0.1,4000.0
