player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
patrickmahomes,QB,1,QB1,24.9,8300.0
joshallen,QB,3,QB3,22.1,8100.0
lamarjackson,QB,4,QB4,21.1,7700.0
justinherbert,QB,5,QB5,20.6,7500.0
kirkcousins,QB,6,QB6,20.1,6900.0
tuatagovailoa,QB,7,QB7,19.5,7000.0
trevorlawrence,QB,8,QB8,18.8,6800.0
justinfields,QB,9,QB9,18.3,7100.0
dakprescott,QB,10,QB10,17.9,6600.0
deshaunwatson,QB,11,QB11,17.6,6100.0
jaredgoff,QB,12,QB12,17.3,6500.0
genosmith,QB,13,QB13,17.1,5700.0
russellwilson,QB,15,QB15,16.4,5900.0
jordanlove,QB,19,QB19,15.2,5600.0
derekcarr,QB,21,QB21,14.9,5500.0
samhowell,QB,23,QB23,14.6,5400.0
c.j.stroud,QB,24,QB24,14.3,5300.0
desmondridder,QB,26,QB26,13.9,5000.0
macjones,QB,27,QB27,13.6,5300.0
ryantannehill,QB,28,QB28,13.3,5000.0
gardnerminshew,QB,29,QB29,13.1,5100.0
joshuadobbs,QB,30,QB30,12.8,5100.0
andydalton,QB,31,QB31,12.6,4900.0
zachwilson,QB,32,QB32,12.1,4900.0
claytontune,QB,34,QB34,0.5,4500.0
jacobybrissett,QB,35,QB35,0.5,4700.0
taylorheinicke,QB,36,QB36,0.5,4700.0
tonypollard,RB,2,RB2,19.9,8000.0
bijanrobinson,RB,3,RB3,18.3,7800.0
travisetiennejr.,RB,4,RB4,16.6,6900.0
derrickhenry,RB,7,RB7,16.2,7400.0
kennethwalker,RB,8,RB8,16.2,6200.0
jahmyrgibbs,RB,10,RB10,15.0,6600.0
rhamondrestevenson,RB,11,RB11,14.2,6700.0
raheemmostert,RB,12,RB12,13.9,6000.0
jamescook,RB,13,RB13,13.8,6400.0
milessanders,RB,15,RB15,13.5,5700.0
joshuakelley,RB,16,RB16,13.4,5400.0
alexandermattison,RB,17,RB17,13.3,5800.0
brianrobinsonjr.,RB,19,RB19,12.8,5800.0
jamesconner,RB,20,RB20,12.6,6300.0
zackmoss,RB,22,RB22,12.5,5500.0
isiahpacheco,RB,23,RB23,12.5,5400.0
javontewilliams,RB,24,RB24,12.4,5500.0
jeromeford,RB,25,RB25,12.0,4800.0
breecehall,RB,26,RB26,11.5,5600.0
dameonpierce,RB,27,RB27,11.5,5200.0
gusedwards,RB,28,RB28,11.3,5300.0
tylerallgeier,RB,29,RB29,10.9,5100.0
aaronjones,RB,31,RB31,10.4,6800.0
ajdillon,RB,32,RB32,9.9,5700.0
khalilherbert,RB,33,RB33,9.4,5100.0
roschonjohnson,RB,35,RB35,8.6,4700.0
samajeperine,RB,36,RB36,8.2,4900.0
dalvincook,RB,37,RB37,8.0,5600.0
craigreynolds,RB,38,RB38,8.0,4400.0
jerickmckinnon,RB,39,RB39,7.9,4500.0
kendremiller,RB,40,RB40,6.9,4300.0
tonyjonesjr.,RB,41,RB41,7.8,4500.0
antoniogibson,RB,42,RB42,7.3,4700.0
chubahubbard,RB,43,RB43,6.8,5100.0
tyjaespears,RB,44,RB44,6.4,4400.0
ezekielelliott,RB,45,RB45,6.3,5200.0
zachcharbonnet,RB,47,RB47,6.3,4500.0
tankbigsby,RB,49,RB49,5.5,4700.0
lataviusmurray,RB,50,RB50,5.4,4500.0
devinsingletary,RB,51,RB51,5.1,4500.0
damienharris,RB,52,RB52,5.1,4800.0
clydeedwards-helaire,RB,53,RB53,5.0,4100.0
de'vonachane,RB,54,RB54,5.0,5000.0
tychandler,RB,56,RB56,4.7,4300.0
michaelcarter,RB,57,RB57,4.6,4400.0
ricodowdle,RB,58,RB58,4.4,4500.0
deucevaughn,RB,59,RB59,4.3,4400.0
melvingordon,RB,62,RB62,3.7,4400.0
deonjackson,RB,63,RB63,3.8,4500.0
pierrestrongjr.,RB,65,RB65,3.5,4500.0
elijahdotson,RB,66,RB66,3.2,4500.0
deejaydallas,RB,67,RB67,3.2,4000.0
keaontayingram,RB,71,RB71,2.6,4200.0
kareemhunt,RB,72,RB72,2.6,4600.0
zonovanknight,RB,73,RB73,2.6,4000.0
jaleelmclaughlin,RB,75,RB75,2.4,4000.0
d'ernestjohnson,RB,76,RB76,2.3,4700.0
isaiahspiller,RB,78,RB78,2.2,4000.0
salvonahmed,RB,79,RB79,2.1,4800.0
emanuelwilson,RB,80,RB80,2.0,4000.0
alecingold,RB,83,RB83,1.8,4000.0
tymontgomery,RB,85,RB85,1.8,3300.0
adamprentice,RB,87,RB87,1.7,4000.0
emaridemercado,RB,89,RB89,1.4,4000.0
chrisrodriguezjr.,RB,90,RB90,1.4,4000.0
dareogunbowale,RB,91,RB91,1.3,4000.0
c.j.ham,RB,92,RB92,1.2,4000.0
mylesgaskin,RB,93,RB93,1.1,4400.0
davidmontgomery,RB,94,RB94,1.1,5900.0
raheemblackshear,RB,98,RB98,1.0,4000.0
reggiegilliam,RB,99,RB99,0.8,4000.0
patrickricard,RB,100,RB100,0.8,4000.0
cordarrellepatterson,RB,101,RB101,0.8,4500.0
jakefunk,RB,103,RB103,0.8,4000.0
d'ontaforeman,RB,104,RB104,0.7,4600.0
michaelburton,RB,105,RB105,0.7,4000.0
juliuschestnut,RB,106,RB106,0.7,4000.0
dewaynemcbride,RB,108,RB108,0.7,4000.0
denericprince,RB,110,RB110,0.6,4000.0
mikeboone,RB,112,RB112,0.6,4000.0
chrisbrooks,RB,113,RB113,0.4,4000.0
travishomer,RB,114,RB114,0.5,4000.0
khariblasingame,RB,115,RB115,0.4,4000.0
malikdavis,RB,116,RB116,0.5,4000.0
hunterluepke,RB,117,RB117,0.3,4000.0
jamycalhasty,RB,118,RB118,0.3,4000.0
israelabanikanda,RB,119,RB119,0.3,4000.0
hassanhall,RB,120,RB120,0.3,4000.0
keithsmith,RB,121,RB121,0.3,4000.0
tarikcohen,RB,122,RB122,0.0,4000.0
godwinigwebuike,RB,124,RB124,0.0,4000.0
nickbawden,RB,125,RB125,0.0,4000.0
justinjefferson,WR,1,WR1,22.4,9300.0
