player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
patrickmahomes,QB,1,QB1,23.1,8200.0
joshallen,QB,2,QB2,22.6,8100.0
jalenhurts,QB,3,QB3,21.6,8000.0
lamarjackson,QB,4,QB4,20.8,7800.0
tuatagovailoa,QB,5,QB5,19.9,7100.0
anthonyrichardson,QB,6,QB6,19.1,7000.0
kirkcousins,QB,7,QB7,18.6,6900.0
justinfields,QB,8,QB8,18.1,6700.0
jaredgoff,QB,9,QB9,17.8,6300.0
trevorlawrence,QB,10,QB10,17.6,6600.0
jordanlove,QB,11,QB11,17.4,5800.0
samhowell,QB,12,QB12,17.3,5200.0
c.j.stroud,QB,13,QB13,17.2,6000.0
joeburrow,QB,14,QB14,17.0,6200.0
danieljones,QB,15,QB15,16.8,5800.0
matthewstafford,QB,16,QB16,16.6,5600.0
brockpurdy,QB,17,QB17,16.4,5700.0
joshuadobbs,QB,18,QB18,16.2,5200.0
russellwilson,QB,19,QB19,16.1,5700.0
dakprescott,QB,20,QB20,15.9,6100.0
zachwilson,QB,21,QB21,15.5,4900.0
jimmygaroppolo,QB,22,QB22,15.0,5300.0
ryantannehill,QB,23,QB23,14.6,4900.0
bryceyoung,QB,24,QB24,14.1,5100.0
macjones,QB,25,QB25,13.8,5100.0
derekcarr,QB,26,QB26,13.5,5300.0
desmondridder,QB,27,QB27,13.4,4900.0
kennypickett,QB,28,QB28,13.3,5000.0
mitchtrubisky,QB,29,QB29,7.5,5000.0
aidano'connell,QB,30,QB30,7.3,4900.0
jameiswinston,QB,31,QB31,0.0,4800.0
andydalton,QB,32,QB32,0.0,4800.0
ajmccarron,QB,33,QB33,0.0,4000.0
brianhoyer,QB,34,QB34,0.0,4700.0
brettrypien,QB,35,QB35,0.0,4800.0
christianmccaffrey,RB,1,RB1,22.1,9400.0
bijanrobinson,RB,2,RB2,19.8,7700.0
joshjacobs,RB,3,RB3,17.9,7300.0
tonypollard,RB,4,RB4,17.2,7600.0
d'andreswift,RB,5,RB5,17.1,6000.0
derrickhenry,RB,6,RB6,16.5,7500.0
davidmontgomery,RB,7,RB7,15.8,6600.0
joemixon,RB,8,RB8,15.3,6400.0
travisetiennejr.,RB,9,RB9,15.6,7000.0
de'vonachane,RB,10,RB10,15.1,6100.0
brianrobinsonjr.,RB,11,RB11,15.0,5600.0
kyrenwilliams,RB,12,RB12,14.6,6700.0
alvinkamara,RB,13,RB13,14.4,6300.0
jamescook,RB,14,RB14,14.2,6300.0
aaronjones,RB,15,RB15,13.9,6900.0
jamesconner,RB,16,RB16,13.9,5800.0
isiahpacheco,RB,17,RB17,13.9,5700.0
breecehall,RB,18,RB18,13.5,5400.0
raheemmostert,RB,19,RB19,13.8,6200.0
rhamondrestevenson,RB,20,RB20,12.9,5600.0
saquonbarkley,RB,21,RB21,12.8,8100.0
alexandermattison,RB,22,RB22,12.7,5700.0
jahmyrgibbs,RB,23,RB23,12.6,5900.0
dameonpierce,RB,24,RB24,12.4,5300.0
milessanders,RB,25,RB25,11.3,5200.0
khalilherbert,RB,26,RB26,11.3,5300.0
jonathantaylor,RB,27,RB27,10.7,6800.0
najeeharris,RB,28,RB28,10.1,5400.0
jaylenwarren,RB,29,RB29,10.1,4900.0
gusedwards,RB,30,RB30,9.9,5000.0
jaleelmclaughlin,RB,31,RB31,9.6,5000.0
samajeperine,RB,32,RB32,9.3,4800.0
tyjaespears,RB,33,RB33,9.2,4800.0
tylerallgeier,RB,34,RB34,8.8,4700.0
zackmoss,RB,35,RB35,7.5,5800.0
ajdillon,RB,36,RB36,7.4,5200.0
chubahubbard,RB,37,RB37,7.2,4500.0
kennethgainwell,RB,38,RB38,7.2,4800.0
antoniogibson,RB,39,RB39,7.1,4500.0
roschonjohnson,RB,40,RB40,7.0,4800.0
jerickmckinnon,RB,41,RB41,6.9,4900.0
dalvincook,RB,42,RB42,6.1,5100.0
justicehill,RB,43,RB43,6.4,4400.0
ezekielelliott,RB,44,RB44,6.1,4700.0
mattbreida,RB,45,RB45,5.9,5200.0
devinsingletary,RB,46,RB46,5.6,4400.0
camakers,RB,47,RB47,5.0,4900.0
lataviusmurray,RB,48,RB48,4.7,4700.0
ronnierivers,RB,49,RB49,4.6,4600.0
tankbigsby,RB,50,RB50,4.2,4500.0
clydeedwards-helaire,RB,51,RB51,4.1,4500.0
damienharris,RB,52,RB52,3.8,4200.0
michaelcarter,RB,53,RB53,3.4,4000.0
melvingordon,RB,54,RB54,3.4,4600.0
kendremiller,RB,55,RB55,3.4,4200.0
javontewilliams,RB,56,RB56,3.1,5500.0
ricodowdle,RB,57,RB57,3.2,4500.0
tonyjonesjr.,RB,58,RB58,2.9,4500.0
deucevaughn,RB,59,RB59,2.8,4200.0
trayveonwilliams,RB,60,RB60,2.8,4600.0
emaridemercado,RB,61,RB61,2.7,4200.0
ameerabdullah,RB,62,RB62,2.5,4000.0
jordanmason,RB,63,RB63,2.6,4100.0
zamirwhite,RB,64,RB64,2.4,4700.0
cordarrellepatterson,RB,65,RB65,2.1,4000.0
d'ernestjohnson,RB,66,RB66,1.7,4000.0
keaontayingram,RB,67,RB67,2.0,4600.0
garybrightwell,RB,68,RB68,1.7,4600.0
kylejuszczyk,RB,69,RB69,1.4,4000.0
craigreynolds,RB,70,RB70,1.3,4400.0
tychandler,RB,71,RB71,1.3,4000.0
keatonmitchell,RB,72,RB72,1.2,4000.0
bostonscott,RB,73,RB73,1.1,4300.0
treysermon,RB,74,RB74,1.1,4000.0
chasebrown,RB,75,RB75,1.1,4000.0
mikeboone,RB,76,RB76,0.9,4000.0
alecingold,RB,77,RB77,0.9,4000.0
elijahmitchell,RB,78,RB78,0.7,4600.0
tymontgomery,RB,79,RB79,0.7,3000.0
c.j.ham,RB,80,RB80,0.7,4000.0
salvonahmed,RB,81,RB81,0.7,4500.0
jamycalhasty,RB,82,RB82,0.7,4000.0
patrickricard,RB,83,RB83,0.6,4000.0
adamprentice,RB,84,RB84,0.4,4000.0
reggiegilliam,RB,85,RB85,0.5,4000.0
hunterluepke,RB,87,RB87,0.4,4000.0
jakobjohnson,RB,88,RB88,0.4,4000.0
jeffwilsonjr.,RB,89,RB89,0.5,4400.0
zonovanknight,RB,90,RB90,0.4,4000.0
emanuelwilson,RB,91,RB91,0.4,4000.0
chrisevans,RB,92,RB92,0.4,4200.0
ericgray,RB,93,RB93,0.4,4000.0
kenyandrake,RB,94,RB94,0.4,4300.0
chrisbrooks,RB,95,RB95,0.3,4000.0
michaelburton,RB,96,RB96,0.4,4000.0
malikdavis,RB,97,RB97,0.3,4000.0
tyriondavis-price,RB,98,RB98,0.3,4000.0
khariblasingame,RB,99,RB99,0.3,4000.0
derrickgore,RB,100,RB100,0.3,4000.0
keithsmith,RB,101,RB101,0.3,4000.0
zachevans,RB,102,RB102,0.3,4000.0
travishomer,RB,103,RB103,0.3,4000.0
roycefreeman,RB,104,RB104,0.3,4000.0
nickbawden,RB,105,RB105,0.3,4000.0
mylesgaskin,RB,106,RB106,0.0,4000.0
dewaynemcbride,RB,107,RB107,0.2,4000.0
jakefunk,RB,108,RB108,0.0,4000.0
denericprince,RB,109,RB109,0.0,4000.0
tyreekhill,WR,1,WR1,21.9,9000.0
justinjefferson,WR,2,WR2,21.5,9400.0
stefondiggs,WR,3,WR3,19.8,8400.0
davanteadams,WR,4,WR4,19.6,8100.0
ja'marrchase,WR,5,WR5,18.7,7900.0
amon-rast.brown,WR,6,WR6,18.0,7800.0
a.j.brown,WR,7,WR7,17.1,8000.0
pukanacua,WR,8,WR8,16.8,7700.0
ceedeelamb,WR,9,WR9,16.6,7300.0
jaylenwaddle,WR,10,WR10,15.4,7500.0
devontasmith,WR,11,WR11,15.0,7400.0
brandonaiyuk,WR,12,WR12,14.9,6200.0
chrisolave,WR,13,WR13,14.8,6900.0
michaelpittmanjr.,WR,14,WR14,14.1,6400.0
garrettwilson,WR,15,WR15,14.0,6000.0
deebosamuel,WR,16,WR16,13.8,6500.0
terrymclaurin,WR,17,WR17,13.8,5400.0
marquisebrown,WR,18,WR18,13.8,5000.0
calvinridley,WR,19,WR19,13.8,6800.0
nicocollins,WR,20,WR20,13.8,5600.0
zayflowers,WR,21,WR21,13.5,5500.0
christiankirk,WR,22,WR22,13.5,5500.0
djmoore,WR,23,WR23,13.3,5700.0
deandrehopkins,WR,24,WR24,13.2,5700.0
jakobimeyers,WR,25,WR25,13.0,5500.0
adamthielen,WR,26,WR26,13.0,5100.0
georgepickens,WR,27,WR27,13.0,5200.0
romeodoubs,WR,28,WR28,12.5,4900.0
tankdell,WR,29,WR29,12.0,4800.0
christianwatson,WR,30,WR30,12.0,5900.0
gabedavis,WR,31,WR31,11.7,5800.0
courtlandsutton,WR,32,WR32,11.7,5400.0
jerryjeudy,WR,33,WR33,11.6,6300.0
jordanaddison,WR,34,WR34,10.8,5300.0
tutuatwell,WR,35,WR35,10.7,5300.0
michaelthomas,WR,36,WR36,10.7,4900.0
drakelondon,WR,37,WR37,10.7,4700.0
tylerboyd,WR,38,WR38,10.2,4500.0
jahandotson,WR,39,WR39,10.0,4800.0
michaelwilson,WR,40,WR40,9.9,3700.0
jaydenreed,WR,41,WR41,10.0,4000.0
robertwoods,WR,42,WR42,9.8,4000.0
rasheerice,WR,43,WR43,9.7,3600.0
joshdowns,WR,44,WR44,9.4,3700.0
curtissamuel,WR,45,WR45,9.0,3600.0
joshreynolds,WR,46,WR46,9.2,4200.0
rashidshaheed,WR,47,WR47,9.0,3800.0
brandincooks,WR,48,WR48,8.9,4700.0
wan'dalerobinson,WR,49,WR49,8.9,3000.0
skyymoore,WR,50,WR50,8.8,4400.0
cooperkupp,WR,51,WR51,8.3,8600.0
kendrickbourne,WR,52,WR52,8.6,4600.0
k.j.osborn,WR,53,WR53,8.2,4100.0
djcharkjr.,WR,54,WR54,8.2,4000.0
marvinmimsjr.,WR,55,WR55,7.9,4000.0
calvinaustin,WR,56,WR56,7.9,3500.0
michaelgallup,WR,57,WR57,7.8,3600.0
rondalemoore,WR,58,WR58,7.6,3200.0
dariusslayton,WR,59,WR59,7.5,4100.0
darnellmooney,WR,60,WR60,7.4,3900.0
devanteparker,WR,61,WR61,7.4,3800.0
allenlazard,WR,62,WR62,7.3,3900.0
nickwestbrook-ikhine,WR,63,WR63,7.2,3500.0
braxtonberrios,WR,64,WR64,7.2,3600.0
kadariustoney,WR,65,WR65,7.1,4300.0
marquezvaldes-scantling,WR,66,WR66,7.1,4100.0
allenrobinson,WR,67,WR67,6.8,3400.0
jamesonwilliams,WR,68,WR68,6.6,4000.0
justinwatson,WR,69,WR69,6.4,3400.0
alecpierce,WR,70,WR70,6.1,3400.0
nelsonagholor,WR,71,WR71,6.3,3300.0
vanjefferson,WR,72,WR72,5.6,3800.0
jujusmith-schuster,WR,73,WR73,5.5,3500.0
mackhollins,WR,74,WR74,5.5,3300.0
jalinhyatt,WR,75,WR75,5.3,3600.0
jonathanmingo,WR,76,WR76,5.2,3300.0
terracemarshalljr.,WR,77,WR77,5.2,3600.0
isaiahhodgins,WR,78,WR78,5.1,4500.0
demariodouglas,WR,79,WR79,5.0,3000.0
kalifraymond,WR,80,WR80,5.0,3300.0
parriscampbell,WR,81,WR81,4.8,3300.0
brandonjohnson,WR,82,WR82,4.7,3200.0
hunterrenfrow,WR,83,WR83,4.7,3500.0
deonteharty,WR,84,WR84,4.7,3000.0
trentonirwin,WR,85,WR85,4.4,3200.0
randallcobb,WR,86,WR86,4.0,3000.0
olamidezaccheaus,WR,87,WR87,4.3,3200.0
zayjones,WR,88,WR88,3.2,4300.0
chrismoore,WR,89,WR89,4.0,3000.0
laviskashenaultjr.,WR,90,WR90,3.8,3000.0
devinduvernay,WR,91,WR91,3.3,3000.0
dontayvionwicks,WR,92,WR92,3.4,3000.0
equanimeousst.brown,WR,93,WR93,3.2,3000.0
johnmetchie,WR,94,WR94,3.2,3100.0
trentsherfield,WR,95,WR95,3.0,3000.0
dyamibrown,WR,96,WR96,3.0,3000.0
marvinjonesjr.,WR,97,WR97,2.9,3000.0
tylerscott,WR,98,WR98,2.8,3000.0
teehiggins,WR,99,WR99,2.7,6600.0
ronniebell,WR,100,WR100,2.7,3200.0
isaiahmckenzie,WR,101,WR101,2.4,3000.0
justynross,WR,102,WR102,2.4,3000.0
jalentolbert,WR,103,WR103,2.3,3100.0
kavontaeturpin,WR,104,WR104,2.2,3000.0
treylonburks,WR,105,WR105,2.1,3900.0
mecolehardmanjr.,WR,106,WR106,2.3,3000.0
timjones,WR,107,WR107,2.0,3000.0
zachpascal,WR,108,WR108,2.1,3000.0
lil'jordanhumphrey,WR,109,WR109,1.9,3000.0
odellbeckhamjr.,WR,110,WR110,1.8,4200.0
ray-raymccloud,WR,111,WR111,1.7,3000.0
rashodbateman,WR,112,WR112,1.6,4400.0
khadarelhodge,WR,113,WR113,1.6,3000.0
andreiiosivas,WR,114,WR114,1.5,3000.0
robbiechosen,WR,115,WR115,1.5,3000.0
quezwatkins,WR,116,WR116,1.3,3500.0
cedrickwilsonjr.,WR,117,WR117,1.4,3000.0
khalilshakir,WR,118,WR118,1.2,3200.0
kylephilips,WR,119,WR119,1.1,3000.0
jauanjennings,WR,120,WR120,1.1,3800.0
xaviergipson,WR,121,WR121,1.0,3000.0
deandrecarter,WR,122,WR122,1.0,3000.0
tretucker,WR,123,WR123,0.9,3000.0
jamalagnew,WR,124,WR124,0.9,3000.0
byronpringle,WR,125,WR125,0.8,3000.0
sterlingshepard,WR,126,WR126,0.6,3000.0
samoritoure,WR,127,WR127,0.8,3000.0
benskowronek,WR,128,WR128,0.6,3000.0
trenttaylor,WR,129,WR129,0.6,3000.0
rivercracraft,WR,130,WR130,0.5,3000.0
lawrencecager,WR,131,WR131,0.5,2500.0
milesboykin,WR,132,WR132,0.5,3000.0
brandonpowell,WR,133,WR133,0.5,3000.0
jamisoncrowder,WR,135,WR135,0.5,3000.0
keithkirkwood,WR,136,WR136,0.3,3000.0
gunnerolszewski,WR,137,WR137,0.3,3000.0
xavierhutchinson,WR,138,WR138,0.3,3000.0
parkerwashington,WR,140,WR140,0.3,3000.0
velusjonesjr.,WR,141,WR141,0.2,3000.0
coltondowell,WR,142,WR142,0.2,3000.0
antoinegreen,WR,143,WR143,0.2,3000.0
gregdortch,WR,144,WR144,0.2,3000.0
amarirodgers,WR,145,WR145,0.2,3000.0
britaincovey,WR,146,WR146,0.1,3000.0
demarcusrobinson,WR,147,WR147,0.0,3000.0
ihmirsmith-marsette,WR,148,WR148,0.0,3000.0
traviskelce,TE,1,TE1,18.7,7600.0
t.j.hockenson,TE,2,TE2,13.5,6500.0
markandrews,TE,3,TE3,13.4,5500.0
samlaporta,TE,4,TE4,10.5,5000.0
evanengram,TE,5,TE5,10.4,4700.0
darrenwaller,TE,6,TE6,10.4,5400.0
georgekittle,TE,7,TE7,10.3,4800.0
dallasgoedert,TE,8,TE8,9.8,4200.0
tylerhigbee,TE,9,TE9,9.3,4100.0
jakeferguson,TE,10,TE10,9.2,3700.0
zachertz,TE,11,TE11,9.1,3500.0
colekmet,TE,12,TE12,9.1,4300.0
daltonkincaid,TE,13,TE13,8.8,3400.0
hunterhenry,TE,14,TE14,8.1,4400.0
loganthomas,TE,15,TE15,8.0,3100.0
kylepitts,TE,16,TE16,7.8,3300.0
lukemusgrave,TE,17,TE17,7.7,3500.0
daltonschultz,TE,18,TE18,7.6,3400.0
tylerconklin,TE,19,TE19,7.4,3200.0
jonnusmith,TE,20,TE20,6.7,2900.0
haydenhurst,TE,22,TE22,6.7,3100.0
durhamsmythe,TE,23,TE23,6.0,3000.0
kylengranson,TE,24,TE24,5.9,3000.0
dawsonknox,TE,25,TE25,5.6,3100.0
taysomhill,TE,26,TE26,5.5,3900.0
adamtrautman,TE,27,TE27,5.2,2700.0
mikegesicki,TE,28,TE28,4.3,2700.0
noahgray,TE,29,TE29,4.2,2800.0
treymcbride,TE,30,TE30,3.9,2500.0
tannerhudson,TE,31,TE31,3.8,2600.0
isaiahlikely,TE,32,TE32,3.6,2500.0
juwanjohnson,TE,33,TE33,3.7,3000.0
michaelmayer,TE,34,TE34,3.4,2500.0
darnellwashington,TE,35,TE35,3.2,2500.0
austinhooper,TE,36,TE36,2.8,2500.0
irvsmithjr.,TE,37,TE37,2.2,3100.0
jimmygraham,TE,38,TE38,2.8,2500.0
josholiver,TE,39,TE39,2.3,2500.0
connorheyward,TE,40,TE40,2.3,2500.0
johnbates,TE,41,TE41,2.2,2500.0
coleturner,TE,42,TE42,2.0,2500.0
josiahdeguara,TE,44,TE44,2.0,2800.0
c.j.uzomah,TE,45,TE45,1.8,2500.0
fostermoreau,TE,46,TE46,1.8,2500.0
