player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
jalenhurts,QB,1,QB1,23.2,8200.0
tuatagovailoa,QB,6,QB6,18.9,7700.0
trevorlawrence,QB,8,QB8,17.5,6200.0
c.j.stroud,QB,9,QB9,17.0,6300.0
dakprescott,QB,11,QB11,16.5,6100.0
kirkcousins,QB,12,QB12,16.3,6900.0
matthewstafford,QB,15,QB15,15.5,6600.0
jordanlove,QB,16,QB16,15.4,5700.0
samhowell,QB,17,QB17,15.1,5200.0
derekcarr,QB,18,QB18,14.9,5500.0
gardnerminshew,QB,19,QB19,14.8,5400.0
desmondridder,QB,21,QB21,14.5,5100.0
kennypickett,QB,22,QB22,14.3,4900.0
bryceyoung,QB,23,QB23,14.2,5100.0
macjones,QB,27,QB27,13.7,5000.0
tyrodtaylor,QB,28,QB28,13.5,5300.0
zachwilson,QB,29,QB29,13.1,4800.0
willlevis,QB,32,QB32,11.0,4400.0
malikwillis,QB,33,QB33,2.7,4700.0
c.j.beathard,QB,36,QB36,0.0,4700.0
alvinkamara,RB,3,RB3,18.3,7300.0
travisetiennejr.,RB,5,RB5,17.5,7200.0
tonypollard,RB,6,RB6,16.7,7500.0
breecehall,RB,7,RB7,16.7,5900.0
saquonbarkley,RB,8,RB8,16.4,8000.0
raheemmostert,RB,10,RB10,16.2,7700.0
d'andreswift,RB,11,RB11,16.1,6300.0
jonathantaylor,RB,13,RB13,15.5,6200.0
bijanrobinson,RB,15,RB15,15.4,6000.0
derrickhenry,RB,18,RB18,13.0,7600.0
aaronjones,RB,19,RB19,12.9,6400.0
rhamondrestevenson,RB,20,RB20,12.6,5400.0
alexandermattison,RB,23,RB23,11.3,5600.0
dameonpierce,RB,25,RB25,10.4,5300.0
chubahubbard,RB,28,RB28,10.3,4800.0
najeeharris,RB,29,RB29,10.2,5100.0
darrellhendersonjr.,RB,31,RB31,9.7,4800.0
jaylenwarren,RB,32,RB32,9.4,4900.0
milessanders,RB,33,RB33,9.2,4900.0
brianrobinsonjr.,RB,34,RB34,9.0,5400.0
devinsingletary,RB,35,RB35,8.8,4400.0
zackmoss,RB,37,RB37,8.5,5700.0
ajdillon,RB,38,RB38,8.5,5100.0
roycefreeman,RB,39,RB39,8.3,4600.0
tylerallgeier,RB,41,RB41,7.5,5000.0
tyjaespears,RB,42,RB42,7.5,4700.0
camakers,RB,43,RB43,7.3,4800.0
ezekielelliott,RB,44,RB44,7.3,4600.0
jeffwilsonjr.,RB,49,RB49,6.3,4500.0
antoniogibson,RB,51,RB51,5.6,4500.0
kennethgainwell,RB,53,RB53,5.5,4500.0
jamaalwilliams,RB,54,RB54,5.4,4300.0
salvonahmed,RB,56,RB56,4.9,4600.0
ricodowdle,RB,57,RB57,4.8,4300.0
michaelcarter,RB,60,RB60,4.1,4000.0
dalvincook,RB,61,RB61,3.8,4600.0
cordarrellepatterson,RB,63,RB63,3.7,4700.0
mattbreida,RB,64,RB64,3.5,4400.0
chrisrodriguezjr.,RB,65,RB65,3.5,4000.0
tankbigsby,RB,67,RB67,3.1,4200.0
kendremiller,RB,78,RB78,1.2,4200.0
bostonscott,RB,80,RB80,1.1,4000.0
alecingold,RB,81,RB81,1.0,4000.0
zachevans,RB,82,RB82,1.0,4000.0
tychandler,RB,83,RB83,0.9,4400.0
emanuelwilson,RB,85,RB85,0.9,4000.0
mylesgaskin,RB,86,RB86,0.8,4000.0
c.j.ham,RB,88,RB88,0.8,4000.0
deucevaughn,RB,90,RB90,0.7,4100.0
d'ernestjohnson,RB,92,RB92,0.7,4000.0
tymontgomery,RB,93,RB93,0.7,3000.0
mikeboone,RB,99,RB99,0.5,4000.0
hunterluepke,RB,103,RB103,0.3,4000.0
raheemblackshear,RB,104,RB104,0.3,4000.0
keithsmith,RB,105,RB105,0.2,4000.0
nickbawden,RB,106,RB106,0.2,4000.0
israelabanikanda,RB,109,RB109,0.0,4000.0
tyreekhill,WR,1,WR1,22.0,9500.0
a.j.brown,WR,3,WR3,19.1,8000.0
cooperkupp,WR,6,WR6,18.3,9000.0
ceedeelamb,WR,9,WR9,16.6,7600.0
pukanacua,WR,10,WR10,16.4,7900.0
adamthielen,WR,12,WR12,15.6,6600.0
jaylenwaddle,WR,14,WR14,15.1,7500.0
chrisolave,WR,15,WR15,15.1,6400.0
christiankirk,WR,18,WR18,14.8,5900.0
jordanaddison,WR,19,WR19,14.0,5700.0
nicocollins,WR,20,WR20,13.9,5500.0
devontasmith,WR,21,WR21,13.9,6700.0
garrettwilson,WR,23,WR23,13.6,6300.0
terrymclaurin,WR,24,WR24,13.6,5300.0
michaelpittmanjr.,WR,25,WR25,13.5,6500.0
georgepickens,WR,27,WR27,13.2,5600.0
calvinridley,WR,28,WR28,12.6,5800.0
drakelondon,WR,30,WR30,12.4,5100.0
diontaejohnson,WR,34,WR34,11.9,5000.0
tankdell,WR,36,WR36,11.8,4900.0
joshdowns,WR,37,WR37,11.8,4800.0
christianwatson,WR,40,WR40,11.3,5100.0
kendrickbourne,WR,42,WR42,11.2,4700.0
deandrehopkins,WR,43,WR43,11.0,5500.0
michaelthomas,WR,44,WR44,10.7,4900.0
romeodoubs,WR,47,WR47,10.1,4900.0
k.j.osborn,WR,48,WR48,9.7,4700.0
curtissamuel,WR,49,WR49,9.7,4200.0
rashidshaheed,WR,50,WR50,9.0,3900.0
brandincooks,WR,51,WR51,9.0,4600.0
michaelgallup,WR,54,WR54,8.5,3400.0
wan'dalerobinson,WR,55,WR55,8.3,3700.0
jaydenreed,WR,57,WR57,8.1,3700.0
jahandotson,WR,60,WR60,7.8,4500.0
djcharkjr.,WR,62,WR62,7.3,3800.0
tutuatwell,WR,64,WR64,7.3,4400.0
allenlazard,WR,66,WR66,7.3,3400.0
brandonpowell,WR,67,WR67,7.2,3200.0
treylonburks,WR,68,WR68,6.9,3900.0
demariodouglas,WR,70,WR70,6.8,3300.0
jalinhyatt,WR,71,WR71,6.8,3100.0
dariusslayton,WR,72,WR72,6.3,3400.0
jonathanmingo,WR,80,WR80,5.6,3400.0
devanteparker,WR,83,WR83,5.5,3200.0
braxtonberrios,WR,84,WR84,5.4,3000.0
alecpierce,WR,86,WR86,5.2,3400.0
jamalagnew,WR,89,WR89,4.9,3000.0
allenrobinson,WR,90,WR90,4.9,3300.0
jujusmith-schuster,WR,91,WR91,4.9,3100.0
nickwestbrook-ikhine,WR,92,WR92,4.8,3300.0
cedrickwilsonjr.,WR,94,WR94,4.7,3000.0
noahbrown,WR,99,WR99,4.2,3000.0
olamidezaccheaus,WR,100,WR100,3.7,3000.0
isaiahhodgins,WR,101,WR101,3.6,3500.0
vanjefferson,WR,102,WR102,3.5,3200.0
mackhollins,WR,103,WR103,3.5,3300.0
terracemarshalljr.,WR,106,WR106,3.2,3000.0
randallcobb,WR,107,WR107,3.1,3000.0
calvinaustin,WR,108,WR108,3.0,3200.0
johnmetchie,WR,109,WR109,3.0,3000.0
juliojones,WR,111,WR111,2.9,3200.0
dontayvionwicks,WR,112,WR112,2.8,3000.0
dyamibrown,WR,116,WR116,2.3,3000.0
chrismoore,WR,117,WR117,2.2,3000.0
timjones,WR,119,WR119,2.1,3000.0
samoritoure,WR,121,WR121,2.0,3000.0
kylephilips,WR,122,WR122,2.0,3000.0
tyquanthornton,WR,123,WR123,2.0,3000.0
sterlingshepard,WR,124,WR124,1.9,3000.0
xaviergipson,WR,127,WR127,1.7,3000.0
kavontaeturpin,WR,128,WR128,1.7,3000.0
jalentolbert,WR,129,WR129,1.6,3000.0
isaiahmckenzie,WR,130,WR130,1.5,3000.0
khadarelhodge,WR,133,WR133,1.5,3000.0
keithkirkwood,WR,134,WR134,1.5,3000.0
byronpringle,WR,136,WR136,1.3,3000.0
benskowronek,WR,142,WR142,1.0,3000.0
xavierhutchinson,WR,143,WR143,0.9,3000.0
parriscampbell,WR,146,WR146,0.5,3000.0
chaseclaypool,WR,147,WR147,0.5,3000.0
jalenreagor,WR,148,WR148,0.5,3000.0
trishtonjackson,WR,149,WR149,0.4,3000.0
jalennailor,WR,151,WR151,0.3,3000.0
rivercracraft,WR,155,WR155,0.2,3000.0
milesboykin,WR,156,WR156,0.0,3000.0
lynnbowdenjr.,WR,157,WR157,0.0,3000.0
jamisoncrowder,WR,159,WR159,0.0,3000.0
n'kealharry,WR,160,WR160,0.0,3000.0
jalenbrooks,WR,161,WR161,0.0,3000.0
elijahcooks,WR,162,WR162,0.0,3000.0
britaincovey,WR,164,WR164,0.0,3000.0
austintrammell,WR,167,WR167,0.0,3000.0
irvincharles,WR,171,WR171,0.0,3000.0
t.j.hockenson,TE,3,TE3,14.4,6200.0
darrenwaller,TE,6,TE6,11.1,5200.0
dallasgoedert,TE,7,TE7,10.8,4600.0
evanengram,TE,8,TE8,10.3,4500.0
daltonschultz,TE,9,TE9,10.3,3900.0
kylepitts,TE,11,TE11,9.0,3800.0
jakeferguson,TE,12,TE12,8.6,3600.0
loganthomas,TE,13,TE13,8.5,3400.0
jonnusmith,TE,15,TE15,8.3,3500.0
taysomhill,TE,19,TE19,7.0,4000.0
tylerhigbee,TE,20,TE20,6.9,3300.0
hunterhenry,TE,21,TE21,6.4,3700.0
tylerconklin,TE,22,TE22,6.4,3200.0
lukemusgrave,TE,23,TE23,6.3,3500.0
mikegesicki,TE,27,TE27,5.5,2700.0
juwanjohnson,TE,28,TE28,5.1,3000.0
durhamsmythe,TE,32,TE32,4.5,2800.0
haydenhurst,TE,33,TE33,4.4,2900.0
connorheyward,TE,36,TE36,4.0,2600.0
fostermoreau,TE,39,TE39,3.1,2900.0
josholiver,TE,41,TE41,2.8,2800.0
josiahdeguara,TE,42,TE42,2.7,2800.0
tuckerkraft,TE,43,TE43,2.7,2500.0
tommytremble,TE,44,TE44,2.6,2500.0
moalie-cox,TE,45,TE45,2.6,2500.0
lukeschoonmaker,TE,46,TE46,2.2,2500.0
c.j.uzomah,TE,49,TE49,2.1,2500.0
pharaohbrown,TE,51,TE51,1.9,2500.0
brentonstrange,TE,52,TE52,1.9,2500.0
darnellwashington,TE,55,TE55,1.8,2500.0
danielbellinger,TE,57,TE57,1.7,2500.0
johnbates,TE,58,TE58,1.6,2500.0
teaganquitoriano,TE,60,TE60,1.6,2500.0
coleturner,TE,61,TE61,1.4,2500.0
elijahhiggins,TE,62,TE62,1.4,2500.0
willmallory,TE,63,TE63,1.4,2500.0
mycolepruitt,TE,66,TE66,1.3,2500.0
jeremyruckert,TE,67,TE67,1.1,2500.0
lukefarrell,TE,68,TE68,1.0,2500.0
trevonwesco,TE,70,TE70,0.9,2500.0
andrewbeck,TE,73,TE73,0.9,4000.0
julianhill,TE,74,TE74,0.8,2500.0
stephensullivan,TE,75,TE75,0.7,2500.0
bensims,TE,77,TE77,0.7,2500.0
brycenhopkins,TE,79,TE79,0.6,2500.0
jackstoll,TE,81,TE81,0.6,2500.0
seanmckeon,TE,82,TE82,0.6,2500.0
rodneywilliams,TE,83,TE83,0.6,2500.0
johnnymundt,TE,86,TE86,0.3,2500.0
grantcalcaterra,TE,87,TE87,0.3,2500.0
kevinrader,TE,89,TE89,0.3,2500.0
davisallen,TE,91,TE91,0.0,2500.0
daltonkeene,TE,94,TE94,0.0,2500.0
jimmygraham,TE,95,TE95,0.0,2500.0
tannerconner,TE,97,TE97,0.0,2500.0
eagles,DST,1,DST1,10.1,4300.0
jets,DST,3,DST3,7.4,4000.0
cowboys,DST,7,DST7,7.2,3600.0
falcons,DST,12,DST12,6.9,2900.0
dolphins,DST,13,DST13,7.1,3800.0
giants,DST,14,DST14,6.9,3500.0
saints,DST,15,DST15,6.9,3700.0
texans,DST,16,DST16,6.9,3300.0
jaguars,DST,17,DST17,6.8,2800.0
steelers,DST,18,DST18,6.2,2900.0
colts,DST,19,DST19,6.1,3200.0
packers,DST,20,DST20,6.1,2700.0
vikings,DST,21,DST21,6.1,2500.0
titans,DST,22,DST22,6.1,3100.0
commanders,DST,23,DST23,5.9,2300.0
rams,DST,26,DST26,5.5,2400.0
panthers,DST,27,DST27,5.4,2600.0
patriots,DST,28,DST28,5.2,2000.0
