player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
justinherbert,QB,5,QB5,20.0,7600.0
jaredgoff,QB,7,QB7,18.0,6500.0
jimmygaroppolo,QB,22,QB22,14.3,5200.0
tysonbagent,QB,29,QB29,13.1,5100.0
aidano'connell,QB,34,QB34,0.0,4800.0
brianhoyer,QB,35,QB35,0.0,4900.0
austinekeler,RB,2,RB2,19.0,8000.0
jahmyrgibbs,RB,4,RB4,17.6,6500.0
joshjacobs,RB,14,RB14,15.5,7100.0
d'ontaforeman,RB,27,RB27,10.3,5300.0
roschonjohnson,RB,37,RB37,8.5,5000.0
craigreynolds,RB,47,RB47,6.8,4700.0
joshuakelley,RB,50,RB50,6.2,4900.0
darryntonevans,RB,68,RB68,3.1,4200.0
zamirwhite,RB,75,RB75,1.9,4500.0
ameerabdullah,RB,76,RB76,1.8,4000.0
khariblasingame,RB,88,RB88,0.8,4000.0
devineozigbo,RB,91,RB91,0.7,4000.0
travishomer,RB,92,RB92,0.7,4000.0
isaiahspiller,RB,93,RB93,0.7,4000.0
jakobjohnson,RB,99,RB99,0.5,4000.0
keenanallen,WR,4,WR4,18.7,8300.0
amon-rast.brown,WR,7,WR7,18.1,7800.0
davanteadams,WR,8,WR8,16.9,7700.0
jakobimeyers,WR,17,WR17,15.0,5700.0
djmoore,WR,21,WR21,13.9,5900.0
joshuapalmer,WR,38,WR38,11.5,4900.0
joshreynolds,WR,56,WR56,8.3,4100.0
jamesonwilliams,WR,69,WR69,6.9,3600.0
darnellmooney,WR,73,WR73,6.1,3300.0
quentinjohnston,WR,76,WR76,5.9,3400.0
kalifraymond,WR,86,WR86,5.2,3200.0
tylerscott,WR,99,WR99,4.2,3000.0
tretucker,WR,104,WR104,3.4,3000.0
deriusdavis,WR,109,WR109,3.0,3000.0
hunterrenfrow,WR,112,WR112,2.8,3000.0
velusjonesjr.,WR,130,WR130,1.5,3000.0
antoinegreen,WR,132,WR132,1.5,3000.0
deandrecarter,WR,138,WR138,1.2,3000.0
trenttaylor,WR,142,WR142,1.0,3000.0
keelandoss,WR,152,WR152,0.3,3000.0
simifehoko,WR,165,WR165,0.0,3000.0
alexerickson,WR,169,WR169,0.0,3000.0
samlaporta,TE,4,TE4,11.4,5100.0
colekmet,TE,17,TE17,7.5,4000.0
michaelmayer,TE,18,TE18,7.0,2900.0
geraldeverett,TE,24,TE24,5.9,3500.0
donaldparhamjr.,TE,29,TE29,5.1,3000.0
austinhooper,TE,40,TE40,2.9,2500.0
roberttonyan,TE,49,TE49,2.1,2500.0
brockwright,TE,57,TE57,1.7,2500.0
stonesmartt,TE,58,TE58,1.6,2500.0
marcedeslewis,TE,78,TE78,0.6,2500.0
jamesmitchell,TE,83,TE83,0.6,2500.0
tre'mckitty,TE,90,TE90,0.0,2500.0
jesperhorsted,TE,93,TE93,0.0,2500.0
lions,DST,9,DST9,7.2,3100.0
chargers,DST,10,DST10,7.2,3500.0
bears,DST,30,DST30,5.2,2200.0
raiders,DST,31,DST31,5.1,2900.0
