player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
jalenhurts,QB,1,QB1,23.2,8200.0
lamarjackson,QB,2,QB2,22.9,8100.0
patrickmahomes,QB,3,QB3,21.9,8400.0
tuatagovailoa,QB,6,QB6,18.9,7700.0
trevorlawrence,QB,8,QB8,17.5,6200.0
c.j.stroud,QB,9,QB9,17.0,6300.0
joeburrow,QB,10,QB10,16.8,6000.0
dakprescott,QB,11,QB11,16.5,6100.0
kirkcousins,QB,12,QB12,16.3,6900.0
brockpurdy,QB,13,QB13,16.1,5600.0
russellwilson,QB,14,QB14,15.8,5300.0
jordanlove,QB,15,QB15,15.5,5700.0
matthewstafford,QB,16,QB16,15.4,6600.0
samhowell,QB,17,QB17,15.1,5200.0
derekcarr,QB,18,QB18,14.9,5500.0
gardnerminshew,QB,19,QB19,14.8,5400.0
genosmith,QB,20,QB20,14.6,5900.0
desmondridder,QB,21,QB21,14.5,5100.0
kennypickett,QB,22,QB22,14.3,4900.0
bryceyoung,QB,23,QB23,14.2,5100.0
joshuadobbs,QB,26,QB26,13.8,5200.0
macjones,QB,27,QB27,13.7,5000.0
tyrodtaylor,QB,28,QB28,13.5,5300.0
zachwilson,QB,29,QB29,13.1,4800.0
p.j.walker,QB,31,QB31,11.9,4800.0
willlevis,QB,32,QB32,11.0,4400.0
malikwillis,QB,33,QB33,2.7,4700.0
samdarnold,QB,34,QB34,0.0,4300.0
c.j.beathard,QB,37,QB37,0.0,4700.0
christianmccaffrey,RB,1,RB1,21.5,9200.0
alvinkamara,RB,3,RB3,18.3,7300.0
travisetiennejr.,RB,5,RB5,17.5,7200.0
tonypollard,RB,6,RB6,16.7,7500.0
breecehall,RB,7,RB7,16.7,5900.0
saquonbarkley,RB,8,RB8,16.4,8000.0
isiahpacheco,RB,9,RB9,16.3,6100.0
d'andreswift,RB,10,RB10,16.2,6300.0
raheemmostert,RB,11,RB11,16.1,7700.0
kennethwalker,RB,12,RB12,15.6,7000.0
jonathantaylor,RB,13,RB13,15.5,6200.0
bijanrobinson,RB,15,RB15,15.4,6000.0
joemixon,RB,16,RB16,13.7,5800.0
derrickhenry,RB,18,RB18,13.0,7600.0
aaronjones,RB,19,RB19,12.9,6400.0
rhamondrestevenson,RB,20,RB20,12.6,5400.0
javontewilliams,RB,22,RB22,11.3,5200.0
alexandermattison,RB,23,RB23,11.3,5600.0
kareemhunt,RB,24,RB24,10.4,5200.0
dameonpierce,RB,25,RB25,10.4,5300.0
gusedwards,RB,26,RB26,10.3,5500.0
chubahubbard,RB,28,RB28,10.3,4800.0
emaridemercado,RB,29,RB29,10.2,4800.0
najeeharris,RB,30,RB30,9.9,5100.0
darrellhendersonjr.,RB,31,RB31,9.7,4800.0
milessanders,RB,32,RB32,9.4,4900.0
jaylenwarren,RB,33,RB33,9.2,4900.0
brianrobinsonjr.,RB,34,RB34,9.0,5400.0
devinsingletary,RB,35,RB35,8.8,4400.0
zackmoss,RB,37,RB37,8.5,5700.0
roycefreeman,RB,38,RB38,8.5,4600.0
ajdillon,RB,39,RB39,8.3,5100.0
justicehill,RB,40,RB40,8.2,4700.0
