player_name,player_team_id,player_position_id,rank_ecr,pos_rank,projected_points
Josh Allen,BUF,QB,1,QB1,24.9
Jalen Hurts,PHI,QB,2,QB2,22.5
Patrick Mahomes II,KC,QB,3,QB3,21.5
Lamar Jackson,BAL,QB,4,QB4,20.5
Anthony Richardson,IND,QB,5,QB5,19.8
C.J. Stroud,HOU,QB,6,QB6,19.5
Kyler Murray,ARI,QB,7,QB7,19.0
Joe Burrow,CIN,QB,8,QB8,18.7
Jordan Love,GB,QB,9,QB9,18.4
Jayden Daniels,WAS,QB,10,QB10,18.2
Jared Goff,DET,QB,11,QB11,18.0
Tua Tagovailoa,MIA,QB,12,QB12,17.9
Trevor Lawrence,JAC,QB,13,QB13,17.8
Caleb Williams,CHI,QB,14,QB14,17.7
Matthew Stafford,LAR,QB,15,QB15,17.5
Dak Prescott,DAL,QB,16,QB16,17.4
Baker Mayfield,TB,QB,17,QB17,17.2
Brock Purdy,SF,QB,18,QB18,17.0
Geno Smith,SEA,QB,19,QB19,16.9
Justin Herbert,LAC,QB,20,QB20,16.8
Kirk Cousins,ATL,QB,21,QB21,16.6
Deshaun Watson,CLE,QB,22,QB22,16.3
Aaron Rodgers,NYJ,QB,23,QB23,16.0
Daniel Jones,NYG,QB,24,QB24,15.8
Sam Darnold,MIN,QB,25,QB25,15.6
Will Levis,TEN,QB,26,QB26,15.2
Derek Carr,NO,QB,27,QB27,15.0
Bryce Young,CAR,QB,28,QB28,14.6
Bo Nix,DEN,QB,29,QB29,14.3
Russell Wilson,PIT,QB,30,QB30,14.0
Gardner Minshew II,LV,QB,31,QB31,13.7
Jacoby Brissett,NE,QB,32,QB32,13.5
Justin Fields,PIT,QB,33,QB33,0.7
Drake Maye,NE,QB,34,QB34,0.6
Aidan O'Connell,LV,QB,35,QB35,0.6
Jarrett Stidham,DEN,QB,36,QB36,0.5
Sam Howell,SEA,QB,37,QB37,0.5
Michael Penix Jr.,ATL,QB,38,QB38,0.5
Jameis Winston,CLE,QB,39,QB39,0.5
Drew Lock,NYG,QB,40,QB40,0.4
Joe Flacco,IND,QB,41,QB41,0.4
Tyrod Taylor,NYJ,QB,42,QB42,0.4
Jake Browning,CIN,QB,43,QB43,0.4
Nick Mullens,MIN,QB,44,QB44,0.4
Josh Johnson,BAL,QB,45,QB45,0.4
Carson Wentz,KC,QB,46,QB46,0.4
Marcus Mariota,WAS,QB,47,QB47,0.4
Skylar Thompson,MIA,QB,48,QB48,0.4
Kenny Pickett,PHI,QB,49,QB49,0.4
Mason Rudolph,TEN,QB,50,QB50,0.4
Hendon Hooker,DET,QB,51,QB51,0.4
Mac Jones,JAC,QB,52,QB52,0.4
Joshua Dobbs,SF,QB,53,QB53,0.4
Kyle Trask,TB,QB,54,QB54,0.4
Tyson Bagent,CHI,QB,55,QB55,0.4
Andy Dalton,CAR,QB,56,QB56,0.4
Davis Mills,HOU,QB,57,QB57,0.4
Spencer Rattler,NO,QB,58,QB58,0.3
Brandon Allen,SF,QB,59,QB59,0.2
Clayton Tune,ARI,QB,60,QB60,0.2
Easton Stick,LAC,QB,61,QB61,0.2
Cooper Rush,DAL,QB,62,QB62,0.2
Mike White,BUF,QB,63,QB63,0.0
Mitchell Trubisky,BUF,QB,64,QB64,0.0
Taylor Heinicke,LAC,QB,65,QB65,0.0
Malik Willis,GB,QB,66,QB66,0.0
Stetson Bennett,LAR,QB,67,QB67,0.0
Tyler Huntley,BAL,QB,68,QB68,0.0
Zach Wilson,DEN,QB,69,QB69,0.0
Trey Lance,DAL,QB,70,QB70,0.0
Jaren Hall,SEA,QB,71,QB71,0.0
Tommy DeVito,NYG,QB,72,QB72,0.0
Dorian Thompson-Robinson,CLE,QB,73,QB73,0.0
Jake Haener,NO,QB,74,QB74,0.0
Joe Milton III,NE,QB,75,QB75,0.0
Sean Clifford,GB,QB,76,QB76,0.0
Jeff Driskel,WAS,QB,77,QB77,0.0
Desmond Ridder,ARI,QB,78,QB78,0.0
Blaine Gabbert,FA,QB,79,QB79,0.0
Kyle Allen,PIT,QB,80,QB80,0.0
Carter Bradley,LV,QB,81,QB81,0.0
Michael Pratt,TB,QB,82,QB82,0.0
Brett Rypien,MIN,QB,83,QB83,0.0
Ryan Tannehill,FA,QB,84,QB84,0.0
Sam Ehlinger,IND,QB,85,QB85,0.0
Logan Woodside,CIN,QB,86,QB86,0.0
Devin Leary,BAL,QB,87,QB87,0.0
Tim Boyle,MIA,QB,88,QB88,0.0
Reid Sinnett,FA,QB,89,QB89,0.0
Trevor Siemian,FA,QB,90,QB90,0.0
Will Grier,PHI,QB,91,QB91,0.0
C.J. Beathard,FA,QB,92,QB92,0.0
Matt Corral,FA,QB,93,QB93,0.0
Jake Fromm,DET,QB,94,QB94,0.0
Feleipe Franks,CAR,QB,95,QB95,0.0
Adam Froman,ATL,QB,96,QB96,0.0
Adrian Martinez,NYJ,QB,97,QB97,0.0
Matt Barkley,FA,QB,98,QB98,0.0
John Wolford,CAR,QB,99,QB99,0.0
Ben Chappell,WAS,QB,100,QB100,0.0
Bailey Zappe,KC,QB,101,QB101,0.0
Christian McCaffrey,SF,RB,1,RB1,21.3
Bijan Robinson,ATL,RB,2,RB2,18.5
Breece Hall,NYJ,RB,3,RB3,18.2
Saquon Barkley,PHI,RB,4,RB4,17.0
Jonathan Taylor,IND,RB,5,RB5,16.8
Travis Etienne Jr.,JAC,RB,6,RB6,16.4
Jahmyr Gibbs,DET,RB,7,RB7,16.3
Rachaad White,TB,RB,8,RB8,16.2
De'Von Achane,MIA,RB,9,RB9,15.6
Alvin Kamara,NO,RB,10,RB10,15.1
Kyren Williams,LAR,RB,11,RB11,15.1
James Cook,BUF,RB,12,RB12,15.0
Josh Jacobs,GB,RB,13,RB13,14.8
Kenneth Walker III,SEA,RB,14,RB14,14.8
Derrick Henry,BAL,RB,15,RB15,14.7
Isiah Pacheco,KC,RB,16,RB16,14.3
Joe Mixon,HOU,RB,17,RB17,14.2
Aaron Jones,MIN,RB,18,RB18,13.4
James Conner,ARI,RB,19,RB19,13.1
Rhamondre Stevenson,NE,RB,20,RB20,12.9
Javonte Williams,DEN,RB,21,RB21,12.6
David Montgomery,DET,RB,22,RB22,12.6
Raheem Mostert,MIA,RB,23,RB23,12.1
D'Andre Swift,CHI,RB,24,RB24,12.0
Jerome Ford,CLE,RB,25,RB25,11.8
Najee Harris,PIT,RB,26,RB26,11.7
Devin Singletary,NYG,RB,27,RB27,11.6
Zamir White,LV,RB,28,RB28,11.6
Chuba Hubbard,CAR,RB,29,RB29,11.3
Tony Pollard,TEN,RB,30,RB30,11.1
Brian Robinson Jr.,WAS,RB,31,RB31,11.1
Zack Moss,CIN,RB,32,RB32,10.6
Austin Ekeler,WAS,RB,33,RB33,10.6
Chase Brown,CIN,RB,34,RB34,10.2
Tyjae Spears,TEN,RB,35,RB35,10.2
Jaylen Warren,PIT,RB,36,RB36,10.1
Gus Edwards,LAC,RB,37,RB37,9.4
Ezekiel Elliott,DAL,RB,38,RB38,9.3
Jaleel McLaughlin,DEN,RB,39,RB39,9.1
J.K. Dobbins,LAC,RB,40,RB40,8.8
Rico Dowdle,DAL,RB,41,RB41,8.1
Antonio Gibson,NE,RB,42,RB42,8.1
Zach Charbonnet,SEA,RB,43,RB43,7.9
Tyler Allgeier,ATL,RB,44,RB44,7.8
Blake Corum,LAR,RB,45,RB45,7.1
Ty Chandler,MIN,RB,46,RB46,7.0
Khalil Herbert,CHI,RB,47,RB47,6.8
Ray Davis,BUF,RB,48,RB48,6.7
Trey Benson,ARI,RB,49,RB49,6.6
Samaje Perine,KC,RB,50,RB50,6.5
Jamaal Williams,NO,RB,51,RB51,6.3
Bucky Irving,TB,RB,52,RB52,5.7
Justice Hill,BAL,RB,53,RB53,5.6
Alexander Mattison,LV,RB,54,RB54,5.3
Miles Sanders,CAR,RB,55,RB55,5.0
D'Onta Foreman,CLE,RB,56,RB56,4.9
Tank Bigsby,JAC,RB,57,RB57,4.7
Roschon Johnson,CHI,RB,58,RB58,4.6
Jordan Mason,SF,RB,59,RB59,4.5
Kenneth Gainwell,PHI,RB,60,RB60,4.3
Jaylen Wright,MIA,RB,61,RB61,4.3
Tyrone Tracy Jr.,NYG,RB,62,RB62,3.7
Braelon Allen,NYJ,RB,63,RB63,3.6
Dameon Pierce,HOU,RB,64,RB64,3.5
Cordarrelle Patterson,PIT,RB,65,RB65,3.3
Emanuel Wilson,GB,RB,66,RB66,3.3
Kimani Vidal,LAC,RB,67,RB67,3.1
Audric Estime,DEN,RB,68,RB68,3.1
Trey Sermon,IND,RB,69,RB69,2.6
Dylan Laube,LV,RB,70,RB70,2.1
Pierre Strong Jr.,CLE,RB,71,RB71,2.1
Will Shipley,PHI,RB,72,RB72,2.1
Eric Gray,NYG,RB,73,RB73,2.1
Cam Akers,HOU,RB,74,RB74,1.9
Deuce Vaughn,DAL,RB,75,RB75,1.9
Ty Johnson,BUF,RB,76,RB76,1.9
Emari Demercado,ARI,RB,77,RB77,1.9
D'Ernest Johnson,JAC,RB,78,RB78,1.7
Carson Steele,KC,RB,79,RB79,1.6
Isaac Guerendo,SF,RB,80,RB80,1.4
Ronnie Rivers,LAR,RB,81,RB81,1.3
Isaiah Davis,NYJ,RB,82,RB82,1.2
Dalvin Cook,DAL,RB,83,RB83,1.2
Israel Abanikanda,NYJ,RB,84,RB84,1.2
Jeff Wilson Jr.,MIA,RB,85,RB85,1.1
Ameer Abdullah,LV,RB,86,RB86,1.1
DeeJay Dallas,ARI,RB,87,RB87,1.1
Kyle Juszczyk,SF,RB,88,RB88,1.1
Evan Hull,IND,RB,89,RB89,1.1
Michael Carter,ARI,RB,90,RB90,1.1
Blake Watson,DEN,RB,91,RB91,1.0
Chris Rodriguez Jr.,WAS,RB,92,RB92,1.0
Craig Reynolds,DET,RB,93,RB93,0.9
Tyler Goodson,IND,RB,94,RB94,0.9
Raheem Blackshear,CAR,RB,95,RB95,0.8
Cody Schrader,LAR,RB,96,RB96,0.8
Kendall Milton,CIN,RB,97,RB97,0.8
Sean Tucker,TB,RB,98,RB98,0.8
Alec Ingold,MIA,RB,99,RB99,0.7
Royce Freeman,FA,RB,100,RB100,0.7
Kenny McIntosh,SEA,RB,101,RB101,0.6
JaMycal Hasty,NE,RB,102,RB102,0.5
C.J. Ham,MIN,RB,103,RB103,0.5
Dare Ogunbowale,HOU,RB,104,RB104,0.5
Jordan Mims,NO,RB,105,RB105,0.5
Patrick Ricard,BAL,RB,106,RB106,0.5
Trayveon Williams,CIN,RB,107,RB107,0.4
Sione Vaki,DET,RB,108,RB108,0.4
Jeremy McNichols,WAS,RB,109,RB109,0.4
Jase McClellan,ATL,RB,110,RB110,0.2
Travis Homer,CHI,RB,111,RB111,0.2
Avery Williams,ATL,RB,112,RB112,0.2
Hunter Luepke,DAL,RB,113,RB113,0.2
Adam Prentice,NO,RB,114,RB114,0.2
Julius Chestnut,TEN,RB,115,RB115,0.2
Reggie Gilliam,BUF,RB,116,RB116,0.2
Khari Blasingame,CHI,RB,117,RB117,0.2
Ellis Merriweather,GB,RB,118,RB118,0.1
Hassan Haskins,LAC,RB,119,RB119,0.1
Patrick Taylor Jr.,SF,RB,120,RB120,0.1
Myles Gaskin,MIN,RB,121,RB121,0.0
Jaret Patterson,LAC,RB,122,RB122,0.0
John Kelly Jr.,BAL,RB,123,RB123,0.0
Boston Scott,PIT,RB,124,RB124,0.0
Keaontay Ingram,KC,RB,125,RB125,0.0
Dante Miller,NYG,RB,126,RB126,0.0
Carlos Washington Jr.,ATL,RB,127,RB127,0.0
Frank Gore Jr.,BUF,RB,128,RB128,0.0
Malik Davis,DAL,RB,129,RB129,0.0
Gary Brightwell,CLE,RB,130,RB130,0.0
Jermar Jefferson,DET,RB,131,RB131,0.0
Deneric Prince,MIA,RB,132,RB132,0.0
Tyrion Davis-Price,PHI,RB,133,RB133,0.0
British Brooks,HOU,RB,134,RB134,0.0
Michael Wiley,WAS,RB,135,RB135,0.0
Tyler Badie,DEN,RB,136,RB136,0.0
Amon-Ra St. Brown,DET,WR,1,WR1,20.8
Tyreek Hill,MIA,WR,2,WR2,19.0
Justin Jefferson,MIN,WR,3,WR3,18.8
CeeDee Lamb,DAL,WR,4,WR4,18.7
A.J. Brown,PHI,WR,5,WR5,17.9
Garrett Wilson,NYJ,WR,6,WR6,17.3
Ja'Marr Chase,CIN,WR,7,WR7,16.9
Puka Nacua,LAR,WR,8,WR8,16.0
Davante Adams,LV,WR,9,WR9,15.9
Mike Evans,TB,WR,10,WR10,15.8
Cooper Kupp,LAR,WR,11,WR11,15.6
Marvin Harrison Jr.,ARI,WR,12,WR12,15.3
Chris Olave,NO,WR,13,WR13,15.3
Michael Pittman Jr.,IND,WR,14,WR14,15.3
Jaylen Waddle,MIA,WR,15,WR15,15.2
Drake London,ATL,WR,16,WR16,15.1
Nico Collins,HOU,WR,17,WR17,14.9
Rashee Rice,KC,WR,18,WR18,14.7
Malik Nabers,NYG,WR,19,WR19,14.6
Deebo Samuel Sr.,SF,WR,20,WR20,14.5
DK Metcalf,SEA,WR,21,WR21,14.5
DJ Moore,CHI,WR,22,WR22,14.5
DeVonta Smith,PHI,WR,23,WR23,14.2
Stefon Diggs,HOU,WR,24,WR24,14.0
Amari Cooper,CLE,WR,25,WR25,14.0
Terry McLaurin,WAS,WR,26,WR26,13.9
Chris Godwin,TB,WR,27,WR27,13.8
Brandon Aiyuk,SF,WR,28,WR28,13.7
George Pickens,PIT,WR,29,WR29,13.4
Zay Flowers,BAL,WR,30,WR30,13.4
Christian Kirk,JAC,WR,31,WR31,13.3
Tank Dell,HOU,WR,32,WR32,13.3
Diontae Johnson,CAR,WR,33,WR33,13.0
Keenan Allen,CHI,WR,34,WR34,12.9
Calvin Ridley,TEN,WR,35,WR35,12.5
Jayden Reed,GB,WR,36,WR36,12.3
Jaxon Smith-Njigba,SEA,WR,37,WR37,12.0
Courtland Sutton,DEN,WR,38,WR38,12.0
Xavier Worthy,KC,WR,39,WR39,11.8
Christian Watson,GB,WR,40,WR40,11.5
DeAndre Hopkins,TEN,WR,41,WR41,11.3
Brian Thomas Jr.,JAC,WR,42,WR42,11.1
Joshua Palmer,LAC,WR,43,WR43,11.1
Tyler Lockett,SEA,WR,44,WR44,11.0
Rome Odunze,CHI,WR,45,WR45,11.0
Jordan Addison,MIN,WR,46,WR46,10.9
Jakobi Meyers,LV,WR,47,WR47,10.8
Khalil Shakir,BUF,WR,48,WR48,10.6
Ladd McConkey,LAC,WR,49,WR49,10.8
Jameson Williams,DET,WR,50,WR50,10.5
Romeo Doubs,GB,WR,51,WR51,10.5
Keon Coleman,BUF,WR,52,WR52,10.4
Rashid Shaheed,NO,WR,53,WR53,10.4
Curtis Samuel,BUF,WR,54,WR54,10.3
Gabe Davis,JAC,WR,55,WR55,10.2
Adam Thielen,CAR,WR,56,WR56,10.2
Jerry Jeudy,CLE,WR,57,WR57,9.8
Brandin Cooks,DAL,WR,58,WR58,9.3
DeMario Douglas,NE,WR,59,WR59,9.2
Darnell Mooney,ATL,WR,60,WR60,9.1
Tee Higgins,CIN,WR,61,WR61,9.3
Mike Williams,NYJ,WR,62,WR62,9.0
Michael Wilson,ARI,WR,63,WR63,8.7
Dontayvion Wicks,GB,WR,64,WR64,8.3
Adonai Mitchell,IND,WR,65,WR65,7.9
Ja'Lynn Polk,NE,WR,66,WR66,7.8
Rashod Bateman,BAL,WR,67,WR67,7.8
Wan'Dale Robinson,NYG,WR,68,WR68,7.7
Demarcus Robinson,LAR,WR,69,WR69,7.6
Tyler Boyd,TEN,WR,70,WR70,7.6
Greg Dortch,ARI,WR,71,WR71,7.5
Marvin Mims Jr.,DEN,WR,72,WR72,7.4
Andrei Iosivas,CIN,WR,73,WR73,7.1
Jalen McMillan,TB,WR,74,WR74,7.2
Darius Slayton,NYG,WR,75,WR75,6.3
Xavier Legette,CAR,WR,76,WR76,6.1
Josh Reynolds,DEN,WR,77,WR77,6.1
Quentin Johnston,LAC,WR,78,WR78,6.1
Jahan Dotson,PHI,WR,79,WR79,6.0
Jalen Tolbert,DAL,WR,80,WR80,5.9
Jalin Hyatt,NYG,WR,81,WR81,5.9
Elijah Moore,CLE,WR,82,WR82,5.7
Van Jefferson,PIT,WR,83,WR83,5.5
K.J. Osborn,NE,WR,84,WR84,5.4
Luke McCaffrey,WAS,WR,85,WR85,5.4
Alec Pierce,IND,WR,86,WR86,5.3
Tre Tucker,LV,WR,87,WR87,5.2
Nelson Agholor,BAL,WR,88,WR88,5.2
Jermaine Burton,CIN,WR,89,WR89,5.2
Jonathan Mingo,CAR,WR,90,WR90,5.1
Allen Lazard,NYJ,WR,91,WR91,5.1
Jauan Jennings,SF,WR,92,WR92,5.0
Malachi Corley,NYJ,WR,93,WR93,4.9
Javon Baker,NE,WR,94,WR94,4.7
Dyami Brown,WAS,WR,95,WR95,4.6
Troy Franklin,DEN,WR,96,WR96,4.5
DJ Chark Jr.,LAC,WR,97,WR97,4.6
Malik Washington,MIA,WR,98,WR98,4.5
Trey Palmer,TB,WR,99,WR99,4.5
Noah Brown,WAS,WR,100,WR100,4.4
Cedric Tillman,CLE,WR,101,WR101,4.3
Roman Wilson,PIT,WR,102,WR102,4.3
A.T. Perry,NO,WR,103,WR103,4.2
Treylon Burks,TEN,WR,104,WR104,4.1
Kalif Raymond,DET,WR,105,WR105,4.1
Jacob Cowing,SF,WR,106,WR106,3.8
Ray-Ray McCloud III,ATL,WR,107,WR107,3.8
Xavier Gipson,NYJ,WR,108,WR108,3.7
Justin Watson,KC,WR,109,WR109,3.7
Jalen Nailor,MIN,WR,110,WR110,3.6
Calvin Austin III,PIT,WR,111,WR111,3.6
Tyquan Thornton,NE,WR,112,WR112,3.5
Braxton Berrios,MIA,WR,113,WR113,3.4
Olamide Zaccheaus,WAS,WR,114,WR114,3.2
Mack Hollins,BUF,WR,115,WR115,3.0
Tutu Atwell,LAR,WR,116,WR116,3.0
Cedrick Wilson Jr.,NO,WR,117,WR117,2.8
Trenton Irwin,CIN,WR,118,WR118,2.8
John Metchie III,HOU,WR,119,WR119,2.6
JuJu Smith-Schuster,KC,WR,120,WR120,2.5
Robert Woods,HOU,WR,121,WR121,2.5
Jordan Whittington,LAR,WR,122,WR122,2.5
Marquez Valdes-Scantling,BUF,WR,123,WR123,2.4
Brenden Rice,LAC,WR,124,WR124,2.3
Jake Bobo,SEA,WR,125,WR125,2.2
Parker Washington,JAC,WR,126,WR126,2.1
KaVontae Turpin,DAL,WR,127,WR127,2.0
Brandon Powell,MIN,WR,128,WR128,1.7
KhaDarel Hodge,ATL,WR,129,WR129,1.6
Mecole Hardman Jr.,KC,WR,130,WR130,1.6
Bo Melton,GB,WR,131,WR131,1.5
Skyy Moore,KC,WR,132,WR132,1.6
Tyler Scott,CHI,WR,133,WR133,1.5
Devaughn Vele,DEN,WR,134,WR134,1.4
