player_name,player_team_id,player_position_id,rank_ecr,pos_rank,projected_points
Josh Allen,BUF,QB,1,QB1,24.1
Jalen Hurts,PHI,QB,2,QB2,22.2
Patrick Mahomes II,KC,QB,3,QB3,21.4
Lamar Jackson,BAL,QB,4,QB4,20.5
Anthony Richardson,IND,QB,5,QB5,20.0
C.J. Stroud,HOU,QB,6,QB6,19.6
Kyler Murray,ARI,QB,7,QB7,19.2
Joe Burrow,CIN,QB,8,QB8,18.9
Jordan Love,GB,QB,9,QB9,18.5
Jayden Daniels,WAS,QB,10,QB10,18.2
Jared Goff,DET,QB,11,QB11,17.9
Tua Tagovailoa,MIA,QB,12,QB12,17.7
Trevor Lawrence,JAC,QB,13,QB13,17.5
Caleb Williams,CHI,QB,14,QB14,17.3
Matthew Stafford,LAR,QB,15,QB15,17.3
Dak Prescott,DAL,QB,16,QB16,17.2
Baker Mayfield,TB,QB,17,QB17,17.1
Brock Purdy,SF,QB,18,QB18,16.9
Geno Smith,SEA,QB,19,QB19,16.8
Justin Herbert,LAC,QB,20,QB20,16.7
Kirk Cousins,ATL,QB,21,QB21,16.5
Deshaun Watson,CLE,QB,22,QB22,16.3
Aaron Rodgers,NYJ,QB,23,QB23,16.2
Daniel Jones,NYG,QB,24,QB24,16.0
Sam Darnold,MIN,QB,25,QB25,15.7
Will Levis,TEN,QB,26,QB26,15.5
Derek Carr,NO,QB,27,QB27,15.3
Russell Wilson,PIT,QB,28,QB28,14.9
Bryce Young,CAR,QB,29,QB29,14.7
Bo Nix,DEN,QB,30,QB30,14.4
Gardner Minshew II,LV,QB,31,QB31,14.1
Jacoby Brissett,NE,QB,32,QB32,14.0
Justin Fields,PIT,QB,33,QB33,0.0
Drake Maye,NE,QB,34,QB34,0.0
Aidan O'Connell,LV,QB,35,QB35,0.0
Jarrett Stidham,DEN,QB,36,QB36,0.0
Sam Howell,SEA,QB,37,QB37,0.0
Michael Penix Jr.,ATL,QB,38,QB38,0.0
Jameis Winston,CLE,QB,39,QB39,0.0
Joe Flacco,IND,QB,40,QB40,0.0
Drew Lock,NYG,QB,41,QB41,0.0
Tyrod Taylor,NYJ,QB,42,QB42,0.0
Jake Browning,CIN,QB,43,QB43,0.0
Nick Mullens,MIN,QB,44,QB44,0.0
Josh Johnson,BAL,QB,45,QB45,0.0
Marcus Mariota,WAS,QB,46,QB46,0.0
Carson Wentz,KC,QB,47,QB47,0.0
Mason Rudolph,TEN,QB,48,QB48,0.0
