player_name,player_team_id,player_position_id,rank_ecr,pos_rank
joshallen,BUF,QB,1,QB1
patrickmahomes,KC,QB,2,QB2
lamarjackson,BAL,QB,3,QB3
jalenhurts,PHI,QB,4,QB4
anthonyrichardson,IND,QB,5,QB5
c.j.stroud,HOU,QB,6,QB6
joeburrow,CIN,QB,7,QB7
kylermurray,ARI,QB,8,QB8
jaredgoff,DET,QB,9,QB9
jaydendaniels,WAS,QB,10,QB10
jordanlove,GB,QB,11,QB11
tuatagovailoa,MIA,QB,12,QB12
dakprescott,DAL,QB,13,QB13
calebwilliams,CHI,QB,14,QB14
trevorlawrence,JAC,QB,15,QB15
justinherbert,LAC,QB,16,QB16
brockpurdy,SF,QB,17,QB17
matthewstafford,LAR,QB,18,QB18
bakermayfield,TB,QB,19,QB19
deshaunwatson,CLE,QB,20,QB20
danieljones,NYG,QB,21,QB21
kirkcousins,ATL,QB,22,QB22
genosmith,SEA,QB,23,QB23
aaronrodgers,NYJ,QB,24,QB24
willlevis,TEN,QB,25,QB25
derekcarr,NO,QB,26,QB26
russellwilson,PIT,QB,27,QB27
bryceyoung,CAR,QB,28,QB28
jacobybrissett,NE,QB,29,QB29
j.j.mccarthy,MIN,QB,30,QB30
bonix,DEN,QB,31,QB31
gardnerminshew,LV,QB,32,QB32
samdarnold,MIN,QB,33,QB33
justinfields,PIT,QB,34,QB34
drakemaye,NE,QB,35,QB35
aidano'connell,LV,QB,36,QB36
christianmccaffrey,SF,RB,1,RB1
breecehall,NYJ,RB,2,RB2
bijanrobinson,ATL,RB,3,RB3
saquonbarkley,PHI,RB,4,RB4
jonathantaylor,IND,RB,5,RB5
kyrenwilliams,LAR,RB,6,RB6
jahmyrgibbs,DET,RB,7,RB7
rachaadwhite,TB,RB,8,RB8
travisetiennejr.,JAC,RB,9,RB9
joemixon,HOU,RB,10,RB10
jamescook,BUF,RB,11,RB11
derrickhenry,BAL,RB,12,RB12
de'vonachane,MIA,RB,13,RB13
kennethwalker,SEA,RB,14,RB14
isiahpacheco,KC,RB,15,RB15
alvinkamara,NO,RB,16,RB16
joshjacobs,GB,RB,17,RB17
jamesconner,ARI,RB,18,RB18
aaronjones,MIN,RB,19,RB19
rhamondrestevenson,NE,RB,20,RB20
d'andreswift,CHI,RB,21,RB21
jaylenwarren,PIT,RB,22,RB22
zamirwhite,LV,RB,23,RB23
davidmontgomery,DET,RB,24,RB24
tonypollard,TEN,RB,25,RB25
javontewilliams,DEN,RB,26,RB26
najeeharris,PIT,RB,27,RB27
devinsingletary,NYG,RB,28,RB28
raheemmostert,MIA,RB,29,RB29
chasebrown,CIN,RB,30,RB30
austinekeler,WAS,RB,31,RB31
brianrobinsonjr.,WAS,RB,32,RB32
zackmoss,CIN,RB,33,RB33
tyjaespears,TEN,RB,34,RB34
ezekielelliott,DAL,RB,35,RB35
gusedwards,LAC,RB,36,RB36
treybenson,ARI,RB,37,RB37
jeromeford,CLE,RB,38,RB38
zachcharbonnet,SEA,RB,39,RB39
jonathonbrooks,CAR,RB,40,RB40
antoniogibson,NE,RB,41,RB41
chubahubbard,CAR,RB,42,RB42
blakecorum,LAR,RB,43,RB43
jaleelmclaughlin,DEN,RB,44,RB44
ricodowdle,DAL,RB,45,RB45
tylerallgeier,ATL,RB,46,RB46
roschonjohnson,CHI,RB,47,RB47
elijahmitchell,SF,RB,48,RB48
j.k.dobbins,LAC,RB,49,RB49
d'ontaforeman,CLE,RB,50,RB50
milessanders,CAR,RB,51,RB51
jamaalwilliams,NO,RB,52,RB52
kendremiller,NO,RB,53,RB53
tychandler,MIN,RB,54,RB54
raydavis,BUF,RB,55,RB55
clydeedwards-helaire,KC,RB,56,RB56
jaylenwright,MIA,RB,57,RB57
ajdillon,GB,RB,58,RB58
khalilherbert,CHI,RB,59,RB59
kimanividal,LAC,RB,60,RB60
kennethgainwell,PHI,RB,61,RB61
alexandermattison,LV,RB,62,RB62
tyronetracyjr.,NYG,RB,63,RB63
justicehill,BAL,RB,64,RB64
marshawnlloyd,GB,RB,65,RB65
dameonpierce,HOU,RB,66,RB66
tankbigsby,JAC,RB,67,RB67
buckyirving,TB,RB,68,RB68
