QB_Rank_0,Player,QB_CMP_2,QB_ATT_3,QB_PCT_4,QB_YDS_5,QB_Y/A_6,QB_TD_7,QB_INT_8,QB_SACKS_9,QB_ATT_10,QB_YDS_11,QB_TD_12,QB_FL_13,QB_G_14,QB_FPTS_15,QB_FPTS/G_16,QB_ROST_17,Position,RB_Rank_0,RB_ATT_2,RB_YDS_3,RB_Y/A_4,RB_LG_5,RB_20+_6,RB_TD_7,RB_REC_8,RB_TGT_9,RB_YDS_10,RB_Y/R_11,RB_TD_12,RB_FL_13,RB_G_14,RB_FPTS_15,RB_FPTS/G_16,RB_ROST_17,WR_Rank_0,WR_REC_2,WR_TGT_3,WR_YDS_4,WR_Y/R_5,WR_LG_6,WR_20+_7,WR_TD_8,WR_ATT_9,WR_YDS_10,WR_TD_11,WR_FL_12,WR_G_13,WR_FPTS_14,WR_FPTS/G_15,WR_ROST_16,TE_Rank_0,TE_REC_2,TE_TGT_3,TE_YDS_4,TE_Y/R_5,TE_LG_6,TE_20+_7,TE_TD_8,TE_ATT_9,TE_YDS_10,TE_TD_11,TE_FL_12,TE_G_13,TE_FPTS_14,TE_FPTS/G_15,TE_ROST_16,DST_Rank_0,DST_SACK_2,DST_INT_3,DST_FR_4,DST_FF_5,DST_DEF TD_6,DST_SFTY_7,DST_SPC TD_8,DST_G_9,DST_FPTS_10,DST_FPTS/G_11,DST_ROST_12
,,,,,,,,,,,,,,,,,,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tua Tagovailoa (MIA),28,45,62.2,466,10.4,3,1,0,5,5,0,1,1,28.1,28.1,78.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Mac Jones (JAC),35,54,64.8,316,5.9,3,1,2,2,15,0,0,1,25.1,25.1,2.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Jordan Love (GB),15,27,55.6,245,9.1,3,0,1,3,12,0,0,1,23.0,23.0,85.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Anthony Richardson (IND),24,37,64.9,223,6.0,1,1,4,10,40,1,0,1,21.9,21.9,59.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Deshaun Watson (CLE),16,29,55.2,154,5.3,1,1,3,5,45,1,0,1,21.7,21.7,25.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Justin Herbert (LAC),23,33,69.7,229,6.9,1,0,3,5,17,1,0,1,20.9,20.9,57.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Patrick Mahomes II (KC),21,39,53.8,226,5.8,2,1,0,6,45,0,0,1,20.5,20.5,99.4%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Trevor Lawrence (JAC),24,32,75.0,241,7.5,2,1,2,7,21,0,0,1,18.7,18.7,64.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Kirk Cousins (ATL),33,44,75.0,344,7.8,2,1,2,3,7,0,2,1,17.5,17.5,33.4%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Brock Purdy (SF),19,29,65.5,220,7.6,2,0,3,3,20,0,1,1,16.8,16.8,91.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sam Howell (SEA),19,31,61.3,202,6.5,1,1,6,2,11,1,1,1,16.2,16.2,28.8%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jimmy Garoppolo (LAR),20,26,76.9,200,7.7,2,1,0,9,11,0,0,1,16.1,16.1,1.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Baker Mayfield (TB),21,34,61.8,173,5.1,2,0,1,8,11,0,0,1,16.0,16.0,44.9%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Derek Carr (NO),23,33,69.7,305,9.2,1,1,4,3,4,0,0,1,15.6,15.6,25.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Justin Fields (PIT),24,37,64.9,216,5.8,1,1,4,9,59,0,1,1,15.5,15.5,49.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Russell Wilson (PIT),27,34,79.4,177,5.2,2,0,2,1,1,0,0,1,15.2,15.2,30.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Matthew Stafford (LAR),24,38,63.2,334,8.8,0,0,0,3,11,0,0,1,14.5,14.5,55.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Jared Goff (DET),22,35,62.9,253,7.2,1,0,1,5,-1,0,0,1,14.0,14.0,69.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Jalen Hurts (PHI),22,33,66.7,170,5.2,1,0,3,9,37,0,1,1,12.5,12.5,99.9%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Josh Allen (BUF),29,41,70.7,236,5.8,1,3,5,6,36,0,1,1,12.0,12.0,99.9%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kenny Pickett (PHI),31,46,67.4,232,5.0,1,2,5,1,4,0,0,1,11.7,11.7,6.8%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,C.J. Stroud (HOU),28,44,63.6,242,5.5,0,0,5,4,20,0,1,1,9.7,9.7,92.9%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bryce Young (CAR),20,38,52.6,146,3.8,1,2,2,3,17,0,0,1,9.5,9.5,9.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Zach Wilson (DEN),14,21,66.7,140,6.7,1,1,2,4,6,0,0,1,9.2,9.2,2.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Geno Smith (SEA),16,26,61.5,112,4.3,1,0,2,1,6,0,0,1,9.1,9.1,37.4%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Desmond Ridder (ARI),15,18,83.3,115,6.4,1,0,4,1,-1,0,0,1,7.9,7.9,3.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Lamar Jackson (BAL),17,22,77.3,169,7.7,0,1,4,6,38,0,1,1,7.6,7.6,99.3%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Daniel Jones (NYG),15,28,53.6,104,3.7,0,2,7,13,43,0,0,1,6.5,6.5,11.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Dak Prescott (DAL),13,24,54.2,143,6.0,0,0,0,1,6,0,0,1,6.3,6.3,96.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ryan Tannehill (FA),16,34,47.1,198,5.8,0,3,3,3,5,0,0,1,5.4,5.4,1.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Joe Burrow (CIN),14,31,45.2,82,2.6,0,0,2,1,-1,0,0,1,3.2,3.2,63.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Joshua Dobbs (SF),21,30,70.0,132,4.4,0,0,3,3,-3,0,2,1,1.0,1.0,11.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Tyrod Taylor (NYJ),2,2,100.0,6,3.0,0,0,0,0,0,0,0,1,0.2,0.2,2.6%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Aaron Rodgers (NYJ),0,1,0.0,0,0.0,0,0,1,0,0,0,0,1,0.0,0.0,48.2%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Jayden Daniels (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Bo Nix (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Emory Jones (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Davis Mills (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Kyle Trask (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
