QB_Rank,player_name,QB_CMP,QB_ATT,QB_PCT,QB_YDS,QB_Y/A,QB_TD,QB_INT,QB_SACKS,QB_ATT,QB_YDS,QB_TD,QB_FL,QB_G,QB_FPTS,QB_FPTS/G,QB_ROST,Position
1,justinherbert(lac),40,47,85.1,405,8.6,3,0,1,2,11,0,0,1,29.3,29.3,60.9%,QB
2,tuatagovailoa(mia),23,26,88.5,309,11.9,4,0,0,0,0,0,0,1,28.4,28.4,76.6%,QB
3,lamarjackson(bal),22,31,71.0,202,6.5,0,0,4,14,101,2,1,1,28.2,28.2,99.8%,QB
4,kirkcousins(atl),32,50,64.0,367,7.3,3,1,4,1,10,0,0,1,26.7,26.7,58.9%,QB
5,patrickmahomesii(kc),24,33,72.7,272,8.2,3,0,0,3,28,0,0,1,25.7,25.7,99.9%,QB
6,jordanlove(gb),22,44,50.0,259,5.9,1,1,1,9,39,1,0,1,25.3,25.3,93.3%,QB
7,andydalton(car),34,58,58.6,361,6.2,2,0,3,2,11,0,0,1,23.5,23.5,0.1%,QB
8,joshallen(buf),20,32,62.5,218,6.8,1,1,0,3,46,1,0,1,22.3,22.3,99.9%,QB
9,jalenhurts(phi),23,37,62.2,277,7.5,1,2,1,10,28,1,0,1,21.9,21.9,99.9%,QB
10,deshaunwatson(cle),27,33,81.8,289,8.8,2,0,3,4,16,0,0,1,21.2,21.2,33.2%,QB
11,jimmygaroppolo(lar),28,44,63.6,324,7.4,2,3,4,2,7,0,0,1,20.7,20.7,0.2%,QB
12,c.j.stroud(hou),20,30,66.7,280,9.3,2,0,0,3,14,0,0,1,20.6,20.6,98.9%,QB
13,brockpurdy(sf),25,37,67.6,310,8.4,2,0,2,4,-1,0,0,1,20.3,20.3,90.2%,QB
14,jaredgoff(det),22,33,66.7,243,7.4,1,1,0,5,3,1,0,1,19.0,19.0,69.8%,QB
15,kennypickett(phi),16,28,57.1,235,8.4,2,0,1,3,11,0,0,1,18.5,18.5,0.7%,QB
16,joshuadobbs(sf),17,21,81.0,189,9.0,1,0,2,6,55,0,0,1,17.1,17.1,0.7%,QB
17,genosmith(sea),23,36,63.9,296,8.2,1,1,2,4,-4,0,0,1,16.4,16.4,19.6%,QB
18,trevorlawrence(jac),27,40,67.5,279,7.0,1,1,0,3,12,0,0,1,15.4,15.4,60.6%,QB
19,dakprescott(dal),25,40,62.5,249,6.2,1,1,2,3,24,0,0,1,15.4,15.4,94.3%,QB
