RB_Rank,player_name,RB_ATT,RB_YDS,RB_Y/A,RB_LG,RB_20+,RB_TD,RB_REC,RB_TGT,RB_YDS,RB_Y/R,RB_TD,RB_FL,RB_G,RB_FPTS,RB_FPTS/G,RB_ROST,Position
1,de'vonachane(mia),18,203,11.3,67,3,2,4,4,30,7.5,2,0,1,47.3,47.3,98.5%,RB
2,raheemmostert(mia),13,82,6.3,20,1,3,7,7,60,8.6,1,0,1,38.2,38.2,89.1%,RB
3,kennethwalkeriii(sea),18,97,5.4,36,1,2,3,3,59,19.7,0,0,1,27.6,27.6,96.4%,RB
4,zackmoss(cin),30,122,4.1,24,2,0,2,3,23,11.5,1,0,1,20.5,20.5,83.9%,RB
5,christianmccaffrey(sf),18,85,4.7,12,0,1,5,5,34,6.8,0,0,1,17.9,17.9,100.0%,RB
6,jamesconner(ari),14,98,7.0,26,2,1,2,2,18,9.0,0,0,1,17.6,17.6,91.1%,RB
7,jeromeford(cle),10,18,1.8,9,0,1,2,3,33,16.5,1,0,1,17.1,17.1,70.1%,RB
8,jerickmckinnon(fa),2,9,4.5,10,0,0,3,3,19,6.3,2,0,1,14.8,14.8,0.6%,RB
9,isiahpacheco(kc),15,62,4.1,18,0,1,2,3,16,8.0,0,0,1,13.8,13.8,99.8%,RB
10,d'andreswift(chi),16,130,8.1,29,2,0,1,2,8,8.0,0,0,1,13.8,13.8,91.4%,RB
11,travisetiennejr.(jac),19,88,4.6,16,0,0,4,5,50,12.5,0,0,1,13.8,13.8,99.7%,RB
12,joemixon(hou),19,65,3.4,14,0,1,1,2,5,5.0,0,0,1,13.0,13.0,98.8%,RB
13,alexandermattison(lv),20,93,4.7,15,0,0,5,7,32,6.4,0,0,1,12.5,12.5,6.1%,RB
14,milessanders(car),9,24,2.7,15,0,1,5,9,38,7.6,0,0,1,12.2,12.2,5.1%,RB
15,tonypollard(ten),23,122,5.3,31,1,0,3,3,-1,-0.3,0,0,1,12.1,12.1,87.1%,RB
16,dameonpierce(hou),14,31,2.2,10,0,1,3,3,28,9.3,0,0,1,11.9,11.9,6.0%,RB
17,clydeedwards-helaire(kc),15,55,3.7,16,0,1,1,1,2,2.0,0,0,1,11.7,11.7,5.5%,RB
18,jamescook(buf),15,98,6.5,34,1,0,2,3,14,7.0,0,0,1,11.2,11.2,98.3%,RB
19,ricodowdle(dal),4,21,5.3,10,0,0,3,3,25,8.3,1,0,1,10.6,10.6,29.3%,RB
20,ezekielelliott(dal),16,80,5.0,14,0,0,1,1,7,7.0,0,0,1,8.7,8.7,80.5%,RB
21,jahmyrgibbs(det),17,80,4.7,21,1,0,1,2,2,2.0,0,0,1,8.2,8.2,99.8%,RB
22,lataviusmurray(fa),5,15,3.0,7,0,1,1,1,6,6.0,0,0,1,8.1,8.1,0.0%,RB
23,joshjacobs(gb),17,62,3.6,10,0,0,3,5,18,6.0,0,0,1,8.0,8.0,99.0%,RB
24,mattbreida(sf),4,17,4.3,8,0,1,3,3,1,0.3,0,0,1,7.8,7.8,0.1%,RB
25,brianrobinsonjr.(was),10,70,7.0,23,1,0,0,0,0,0.0,0,0,1,7.0,7.0,86.6%,RB
26,tankbigsby(jac),2,10,5.0,9,0,1,0,1,0,0.0,0,0,1,7.0,7.0,2.9%,RB
27,chrisbrooks(mia),9,66,7.3,52,1,0,0,0,0,0.0,0,0,1,6.6,6.6,0.1%,RB
28,javontewilliams(den),11,42,3.8,16,0,0,2,3,23,11.5,0,0,1,6.5,6.5,84.4%,RB
29,najeeharris(pit),19,65,3.4,17,0,0,0,1,0,0.0,0,0,1,6.5,6.5,89.6%,RB
30,kyrenwilliams(lar),10,38,3.8,9,0,0,2,7,27,13.5,0,0,1,6.5,6.5,99.8%,RB
31,rhamondrestevenson(ne),19,59,3.1,10,0,0,1,4,3,3.0,0,0,1,6.2,6.2,92.4%,RB
32,nickbawden(fa),1,1,1.0,1,0,1,0,0,0,0.0,0,0,1,6.1,6.1,0.0%,RB
33,bijanrobinson(atl),10,33,3.3,11,0,0,4,6,27,6.8,0,0,1,6.0,6.0,99.9%,RB
34,melvingordoniii(fa),10,32,3.2,15,0,0,2,2,23,11.5,0,0,1,5.5,5.5,0.0%,RB
35,tonyjonesjr.(ari),8,31,3.9,19,0,0,4,4,21,5.3,0,0,1,5.2,5.2,0.0%,RB
36,jaylenwarren(pit),8,29,3.6,11,0,0,3,4,23,7.7,0,0,1,5.2,5.2,87.1%,RB
37,gusedwards(lac),11,51,4.6,14,0,0,0,0,0,0.0,0,0,1,5.1,5.1,75.9%,RB
38,roschonjohnson(chi),8,38,4.8,11,0,0,2,2,11,5.5,0,0,1,4.9,4.9,4.1%,RB
39,kennethgainwell(phi),14,43,3.1,8,0,0,1,2,5,5.0,0,0,1,4.8,4.8,2.6%,RB
40,devinsingletary(nyg),9,41,4.6,14,0,0,2,2,4,2.0,0,0,1,4.5,4.5,84.0%,RB
41,zachcharbonnet(sea),9,46,5.1,12,0,0,1,2,-1,-1.0,0,0,1,4.5,4.5,57.8%,RB
42,elijahmitchell(sf),11,42,3.8,18,0,0,3,3,2,0.7,0,0,1,4.4,4.4,11.1%,RB
43,rachaadwhite(tb),14,38,2.7,12,0,0,3,3,24,8.0,0,1,1,4.2,4.2,97.9%,RB
44,garybrightwell(jac),4,5,1.3,2,0,0,2,3,31,15.5,0,0,1,3.6,3.6,0.0%,RB
45,kareemhunt(fa),5,13,2.6,5,0,0,2,3,22,11.0,0,0,1,3.5,3.5,0.7%,RB
46,kendremiller(no),9,34,3.8,10,0,0,1,1,0,0.0,0,0,1,3.4,3.4,26.3%,RB
47,ajdillon(gb),11,33,3.0,14,0,0,0,0,0,0.0,0,0,1,3.3,3.3,5.4%,RB
