TE_Rank,player_name,TE_REC,TE_TGT,TE_YDS,TE_Y/R,TE_LG,TE_20+,TE_TD,TE_ATT,TE_YDS,TE_TD,TE_FL,TE_G,TE_FPTS,TE_FPTS/G,TE_ROST,Position
1,samlaporta(det),8,11,84,10.5,45,1,1,0,0,0,0,1,14.4,14.4,99.9%,TE
2,pharaohbrown(sea),2,2,71,35.5,58,1,1,0,0,0,0,1,13.1,13.1,0.1%,TE
3,traviskelce(kc),7,8,69,9.9,24,1,1,0,0,0,0,1,12.9,12.9,99.9%,TE
4,donaldparhamjr.(lac),2,2,4,2.0,3,0,2,0,0,0,0,1,12.4,12.4,0.6%,TE
5,patfreiermuth(pit),3,4,41,13.7,14,0,1,0,0,0,0,1,10.1,10.1,69.5%,TE
6,georgekittle(sf),7,9,90,12.9,29,1,0,0,0,0,0,1,9.0,9.0,98.4%,TE
7,brevinjordan(hou),2,2,13,6.5,9,0,1,0,0,0,0,1,7.3,7.3,0.1%,TE
8,tylerhigbee(lar),5,5,71,14.2,22,1,0,0,0,0,0,1,7.1,7.1,1.4%,TE
9,jimmygraham(fa),1,1,8,8.0,8,0,1,0,0,0,0,1,6.8,6.8,0.0%,TE
10,evanengram(jac),7,8,67,9.6,28,1,0,0,0,0,0,1,6.7,6.7,95.4%,TE
11,josholiver(min),2,2,4,2.0,4,0,1,0,0,0,0,1,6.4,6.4,0.2%,TE
12,andrewbeck(hou),0,0,0,0.0,0,0,0,0,0,0,0,1,6.0,6.0,0.1%,TE
13,t.j.hockenson(min),8,11,78,9.8,21,1,0,0,0,0,1,1,5.8,5.8,79.7%,TE
14,lukemusgrave(gb),6,8,49,8.2,12,0,0,0,0,0,0,1,4.9,4.9,34.2%,TE
15,jakeferguson(dal),5,7,48,9.6,12,0,0,0,0,0,0,1,4.8,4.8,90.8%,TE
16,dallasgoedert(phi),5,7,41,8.2,13,0,0,0,0,0,0,1,4.1,4.1,86.7%,TE
17,noahfant(sea),4,5,41,10.3,13,0,0,0,0,0,0,1,4.1,4.1,15.0%,TE
18,colbyparkinson(lar),3,4,38,12.7,17,0,0,0,0,0,0,1,3.8,3.8,2.0%,TE
19,jonnusmith(mia),5,8,37,7.4,12,0,0,0,0,0,0,1,3.7,3.7,4.7%,TE
20,kylepitts(atl),5,9,41,8.2,16,0,0,1,-4,0,0,1,3.7,3.7,95.3%,TE
21,markandrews(bal),4,5,35,8.8,20,1,0,0,0,0,0,1,3.5,3.5,99.8%,TE
22,coleturner(was),4,7,35,8.8,21,1,0,0,0,0,0,1,3.5,3.5,0.0%,TE
23,tannerhudson(cin),2,4,30,15.0,26,1,0,0,0,0,0,1,3.0,3.0,0.2%,TE
24,geraldeverett(chi),6,6,30,5.0,13,0,0,0,0,0,0,1,3.0,3.0,1.3%,TE
25,tylerconklin(nyj),3,5,26,8.7,18,0,0,0,0,0,0,1,2.6,2.6,16.7%,TE
26,colekmet(chi),2,2,22,11.0,14,0,0,0,0,0,0,1,2.2,2.2,65.1%,TE
27,taysomhill(no),1,1,9,9.0,9,0,0,4,12,0,0,1,2.1,2.1,15.2%,TE
28,michaelmayer(lv),0,1,0,0.0,0,0,0,0,0,0,0,1,2.0,2.0,2.1%,TE
29,darrenwaller(fa),3,7,20,6.7,9,0,0,0,0,0,0,1,2.0,2.0,4.2%,TE
