WR_Rank,player_name,WR_REC,WR_TGT,WR_YDS,WR_Y/R,WR_LG,WR_20+,WR_TD,WR_ATT,WR_YDS,WR_TD,WR_FL,WR_G,WR_FPTS,WR_FPTS/G,WR_ROST,Position
1,davanteadams(lv),13,20,172,13.2,32,2,2,0,0,0,0,1,29.2,29.2,99.8%,WR
2,keenanallen(chi),18,20,215,11.9,25,5,0,0,0,0,0,1,27.5,27.5,90.8%,WR
3,tyreekhill(mia),9,11,157,17.4,54,1,1,0,0,0,0,1,21.7,21.7,100.0%,WR
4,justinjefferson(min),7,13,149,21.3,52,4,1,0,0,0,0,1,20.9,20.9,100.0%,WR
5,adamthielen(car),11,14,145,13.2,25,3,1,0,0,0,0,1,20.5,20.5,38.0%,WR
6,tankdell(hou),5,7,145,29.0,68,2,1,0,0,0,0,1,20.5,20.5,94.1%,WR
7,deebosamuelsr.(sf),6,12,129,21.5,40,3,1,1,2,0,0,1,19.1,19.1,98.5%,WR
8,mikewilliams(nyj),7,8,121,17.3,49,2,1,0,0,0,0,1,18.1,18.1,55.5%,WR
9,amaricooper(cle),7,8,116,16.6,43,2,1,0,0,0,0,1,17.6,17.6,92.7%,WR
10,djcharkjr.(lac),4,11,86,21.5,47,2,1,0,0,0,0,1,14.6,14.6,2.7%,WR
11,ja'marrchase(cin),12,15,141,11.8,43,1,0,0,0,0,0,1,14.1,14.1,99.9%,WR
12,marvinmimsjr.(den),3,5,73,24.3,38,2,0,1,3,0,0,1,13.6,13.6,11.1%,WR
13,romeodoubs(gb),5,12,73,14.6,30,1,1,0,0,0,0,1,13.3,13.3,38.4%,WR
14,calvinaustiniii(pit),2,6,72,36.0,72,1,1,0,0,0,0,1,13.2,13.2,0.7%,WR
15,tutuatwell(lar),4,9,50,12.5,37,1,1,1,22,0,0,1,13.2,13.2,0.7%,WR
16,a.j.brown(phi),9,14,131,14.6,28,3,0,0,0,0,0,1,13.1,13.1,100.0%,WR
17,robbiechosen(sf),1,1,68,68.0,68,1,1,0,0,0,0,1,12.8,12.8,0.0%,WR
18,rondalemoore(atl),4,6,8,2.0,8,0,0,3,54,1,0,1,12.2,12.2,0.9%,WR
19,hollywoodbrown(kc),5,7,61,12.2,23,1,1,0,0,0,0,1,12.1,12.1,81.5%,WR
20,mikeevans(tb),5,10,60,12.0,24,2,1,0,0,0,0,1,12.0,12.0,99.0%,WR
21,olamidezaccheaus(was),2,3,58,29.0,34,2,1,0,0,0,0,1,11.8,11.8,0.1%,WR
22,christiankirk(jac),4,6,54,13.5,26,1,1,0,0,0,0,1,11.4,11.4,88.3%,WR
23,dkmetcalf(sea),6,8,112,18.7,34,3,0,0,0,0,0,1,11.2,11.2,98.4%,WR
24,stefondiggs(hou),8,12,111,13.9,30,3,0,0,0,0,0,1,11.1,11.1,98.1%,WR
25,courtlandsutton(den),8,11,91,11.4,25,2,1,0,0,0,2,1,11.1,11.1,78.7%,WR
26,joshuapalmer(lac),4,7,66,16.5,30,2,1,0,0,0,1,1,10.6,10.6,26.1%,WR
27,amon-rast.brown(det),9,12,102,11.3,20,1,0,1,4,0,0,1,10.6,10.6,100.0%,WR
28,chrisolave(no),8,11,104,13.0,28,2,0,0,0,0,0,1,10.4,10.4,99.0%,WR
29,djmoore(chi),3,6,41,13.7,29,1,1,0,0,0,0,1,10.1,10.1,97.4%,WR
30,k.j.osborn(ne),1,3,36,36.0,36,1,1,0,0,0,0,1,9.6,9.6,0.7%,WR
31,gabedavis(jac),1,4,35,35.0,35,1,1,1,-2,0,0,1,9.3,9.3,30.1%,WR
32,michaelgallup(fa),6,7,92,15.3,27,2,0,0,0,0,0,1,9.2,9.2,0.6%,WR
33,michaelwilson(ari),2,2,86,43.0,69,1,0,0,0,0,0,1,8.6,8.6,9.0%,WR
34,jakobimeyers(lv),7,12,85,12.1,18,0,0,0,0,0,0,1,8.5,8.5,52.2%,WR
35,ronniebell(sf),2,2,24,12.0,15,0,1,0,0,0,0,1,8.4,8.4,0.1%,WR
36,jerryjeudy(cle),5,7,81,16.2,46,1,0,0,0,0,0,1,8.1,8.1,50.5%,WR
37,michaelpittmanjr.(ind),9,11,77,8.6,34,1,0,0,0,0,0,1,7.7,7.7,97.8%,WR
38,georgepickens(pit),4,6,75,18.8,32,1,0,0,0,0,0,1,7.5,7.5,92.8%,WR
39,pukanacua(lar),5,7,72,14.4,37,1,0,0,0,0,0,1,7.2,7.2,99.9%,WR
40,jakebobo(sea),1,2,5,5.0,5,0,1,0,0,0,0,1,6.5,6.5,0.3%,WR
41,jaydenreed(gb),3,7,63,21.0,30,2,0,0,0,0,0,1,6.3,6.3,86.7%,WR
42,ceedeelamb(dal),4,7,53,13.3,32,1,0,2,9,0,0,1,6.2,6.2,100.0%,WR
