Rank,player_name,CMP,QB_PASS_ATT,PCT,QB_PASS_YDS,Y/A,QB_PASS_TD,QB_INT,SACKS,QB_PASS_ATT,QB_PASS_YDS,QB_PASS_TD,FL,G,QB_FPTS,FPTS/G,ROST,Position
1,joshallen(buf),21,25,84.0,320,12.8,4,0,2,4,17,1,0,1,36.5,36.5,99.9%,QB
2,anthonyrichardson(ind),11,25,44.0,200,8.0,2,0,2,10,56,1,1,1,29.6,29.6,98.0%,QB
3,justinfields(pit),28,35,80.0,335,9.6,4,1,4,4,25,0,1,1,28.9,28.9,7.9%,QB
4,lamarjackson(bal),15,19,78.9,186,9.8,2,0,3,9,27,2,1,1,28.1,28.1,99.8%,QB
5,justinherbert(lac),13,24,54.2,167,7.0,1,1,2,12,27,2,0,1,24.4,24.4,59.6%,QB
6,jalenhurts(phi),25,37,67.6,319,8.6,2,0,3,9,34,0,0,1,24.2,24.2,99.9%,QB
7,bakermayfield(tb),25,32,78.1,246,7.7,3,1,1,8,31,0,0,1,23.9,23.9,29.8%,QB
8,joshuadobbs(sf),28,41,68.3,265,6.5,2,0,1,12,48,0,0,1,23.4,23.4,0.7%,QB
9,russellwilson(pit),21,28,75.0,223,8.0,3,0,1,4,13,0,0,1,22.2,22.2,7.3%,QB
10,c.j.stroud(hou),16,30,53.3,306,10.2,2,0,0,4,16,0,0,1,21.8,21.8,99.0%,QB
11,brockpurdy(sf),20,21,95.2,283,13.5,1,0,1,2,0,1,0,1,21.3,21.3,90.2%,QB
12,jordanlove(gb),23,36,63.9,246,6.8,1,2,5,2,-2,1,0,1,19.6,19.6,93.6%,QB
13,samhowell(sea),29,41,70.7,290,7.1,1,0,5,6,40,0,0,1,19.6,19.6,0.7%,QB
14,zachwilson(den),28,39,71.8,245,6.3,2,0,2,2,14,0,1,1,19.2,19.2,0.6%,QB
15,matthewstafford(lar),27,40,67.5,319,8.0,1,1,2,2,14,0,0,1,17.2,17.2,44.5%,QB
16,trevorlawrence(jac),23,30,76.7,207,6.9,1,0,2,8,42,0,0,1,16.5,16.5,61.0%,QB
17,patrickmahomesii(kc),18,30,60.0,203,6.8,1,2,1,7,51,0,0,1,15.2,15.2,99.9%,QB
18,tuatagovailoa(mia),25,35,71.4,282,8.1,1,1,4,2,7,0,0,1,15.0,15.0,77.1%,QB
19,dakprescott(dal),28,34,82.4,261,7.7,1,0,3,1,-1,0,0,1,14.3,14.3,94.6%,QB
20,ryantannehill(fa),18,25,72.0,240,9.6,1,1,3,6,11,0,0,1,13.7,13.7,0.1%,QB
21,jaredgoff(det),19,28,67.9,210,7.5,1,1,2,2,10,0,0,1,12.4,12.4,70.1%,QB
22,kirkcousins(atl),12,19,63.2,139,7.3,2,2,2,1,0,0,0,1,11.6,11.6,58.7%,QB
23,aidano'connell(lv),24,39,61.5,238,6.1,0,1,7,3,3,1,2,1,10.8,10.8,1.3%,QB
24,danieljones(nyg),27,34,79.4,203,6.0,0,2,10,10,66,0,1,1,10.7,10.7,7.0%,QB
25,genosmith(sea),13,20,65.0,110,5.5,1,0,2,0,0,0,0,1,8.2,8.2,20.0%,QB
26,desmondridder(ari),19,31,61.3,191,6.2,1,2,4,1,6,0,1,1,8.2,8.2,0.6%,QB
27,bryceyoung(car),25,32,78.1,204,6.4,0,0,5,2,10,0,1,1,7.2,7.2,8.2%,QB
28,joeburrow(cin),20,30,66.7,165,5.5,0,0,3,3,1,0,1,1,4.7,4.7,97.5%,QB
29,kennypickett(phi),15,23,65.2,114,5.0,0,1,3,2,9,0,0,1,4.5,4.5,0.7%,QB
30,dorianthompson-robinson(cle),19,36,52.8,121,3.4,0,3,4,4,24,0,0,1,4.2,4.2,0.0%,QB
31,drewlock(nyg),2,6,33.3,63,10.5,0,0,0,1,11,0,0,1,3.6,3.6,0.2%,QB
32,derekcarr(no),23,37,62.2,127,3.4,0,0,2,2,1,0,1,1,3.2,3.2,7.5%,QB
33,macjones(jac),12,21,57.1,150,7.1,0,2,1,3,7,0,1,1,2.7,2.7,0.6%,QB
34,baileyzappe(ne),4,9,44.4,57,6.3,0,0,1,0,0,0,0,1,2.3,2.3,0.0%,QB
35,tylerhuntley(cle),0,0,0.0,0,0.0,0,0,0,2,8,0,0,1,0.8,0.8,0.0%,QB
36,mitchelltrubisky(buf),3,5,60.0,18,3.6,0,0,0,0,0,0,0,1,0.7,0.7,0.1%,QB
37,cooperrush(dal),2,2,100.0,20,10.0,0,0,0,3,-2,0,0,1,0.6,0.6,0.1%,QB
38,aaronrodgers(nyj),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,68.1%,QB
39,jaydendaniels(was),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,86.0%,QB
40,bonix(den),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,11.5%,QB
41,davismills(hou),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB
