Rank,player_name,RB_RUSH_ATT,RB_RUSH_YDS,Y/A,LG,20+,RB_RUSH_TD,RB_REC,TGT,RB_RUSH_YDS,Y/R,RB_RUSH_TD,FL,G,RB_FPTS,FPTS/G,ROST,Position
1,christianmccaffrey(sf),20,106,5.3,18,0,3,7,8,71,10.1,1,0,1,41.7,41.7,100.0%,RB
2,davidmontgomery(det),32,121,3.8,16,0,3,2,2,20,10.0,0,0,1,32.1,32.1,93.7%,RB
3,kyrenwilliams(lar),25,103,4.1,20,1,2,3,3,24,8.0,0,0,1,24.7,24.7,99.8%,RB
4,de'vonachane(mia),8,101,12.6,55,1,2,3,5,19,6.3,0,0,1,24.0,24.0,99.1%,RB
5,derrickhenry(bal),22,122,5.5,29,1,1,1,1,11,11.0,0,0,1,23.4,23.4,99.9%,RB
6,isiahpacheco(kc),20,115,5.8,48,1,1,3,3,43,14.3,0,0,1,21.8,21.8,99.8%,RB
7,joshjacobs(gb),17,58,3.4,9,0,1,8,11,81,10.1,0,0,1,19.9,19.9,99.0%,RB
8,khalilherbert(chi),18,103,5.7,24,2,0,4,5,19,4.8,1,0,1,18.2,18.2,18.7%,RB
9,jaleelmclaughlin(den),7,72,10.3,31,1,0,3,3,32,10.7,1,0,1,16.4,16.4,24.7%,RB
10,kennethwalkeriii(sea),17,79,4.6,31,1,1,0,0,0,0.0,0,0,1,13.9,13.9,97.1%,RB
11,d'andreswift(chi),14,56,4.0,8,0,1,4,4,23,5.8,0,0,1,13.9,13.9,92.2%,RB
12,jamescook(buf),12,29,2.4,8,0,1,1,1,48,48.0,0,0,1,13.7,13.7,98.4%,RB
13,bijanrobinson(atl),14,105,7.5,38,2,0,5,5,32,6.4,0,0,1,13.7,13.7,99.9%,RB
14,brianrobinsonjr.(was),14,45,3.2,15,0,1,2,2,6,3.0,0,0,1,11.1,11.1,87.5%,RB
15,dameonpierce(hou),24,81,3.4,13,0,0,1,2,27,27.0,0,0,1,10.8,10.8,6.0%,RB
16,najeeharris(pit),14,71,5.1,23,1,0,1,2,32,32.0,0,0,1,10.3,10.3,90.6%,RB
17,alexandermattison(lv),17,95,5.6,17,0,0,1,1,3,3.0,0,0,1,9.8,9.8,6.5%,RB
18,zackmoss(cin),18,70,3.9,20,1,0,0,1,0,0.0,0,0,1,9.0,9.0,84.2%,RB
19,alvinkamara(no),11,51,4.6,13,0,0,13,14,33,2.5,0,0,1,8.4,8.4,97.7%,RB
20,mattbreida(sf),14,30,2.1,5,0,0,5,5,48,9.6,0,0,1,7.8,7.8,0.1%,RB
21,rachaadwhite(tb),15,56,3.7,11,0,0,3,3,22,7.3,0,0,1,7.8,7.8,98.6%,RB
22,devinsingletary(nyg),7,25,3.6,9,0,0,1,1,11,11.0,0,0,1,7.8,7.8,84.9%,RB
23,joemixon(hou),14,67,4.8,13,0,0,1,1,9,9.0,0,0,1,7.6,7.6,98.9%,RB
24,travisetiennejr.(jac),20,55,2.8,7,0,0,3,3,17,5.7,0,0,1,7.2,7.2,99.8%,RB
25,breecehall(nyj),6,56,9.3,43,1,0,3,4,13,4.3,0,0,1,6.9,6.9,99.9%,RB
