TE_REC,TE_TGT,TE_REC_YDS,TE_REC_YDS,TE_REC_TD,TE_REC_TD,TE_FPTS,player_name,Position
7,9,85,1,2,0,20.6,colekmet(chi),TE
5,5,80,0,2,0,20.0,markandrews(bal),TE
3,4,48,0,1,0,10.8,drewogletree(ind),TE
3,3,42,0,1,0,10.2,daltonschultz(hou),TE
1,1,35,0,1,0,9.5,moalie-cox(ind),TE
6,6,95,0,0,0,9.5,jonnusmith(mia),TE
1,3,34,0,1,0,9.4,noahgray(kc),TE
2,2,26,0,1,0,8.6,joshwhyle(ten),TE
7,7,77,0,0,0,7.7,jakeferguson(dal),TE
3,4,13,0,1,0,7.3,cadeotton(tb),TE
5,11,64,0,0,0,6.4,tylerhigbee(lar),TE
2,2,63,0,0,0,6.3,noahfant(sea),TE
1,1,1,0,1,0,6.1,c.j.uzomah(fa),TE
6,9,60,0,0,0,6.0,traviskelce(kc),TE
7,8,59,0,0,0,5.9,evanengram(jac),TE
4,6,58,0,0,0,5.8,tylerconklin(nyj),TE
4,5,56,0,0,0,5.6,samlaporta(det),TE
6,10,53,0,0,0,5.3,zachertz(was),TE
4,5,51,0,0,0,5.1,hunterhenry(ne),TE
6,7,46,0,0,0,4.6,davidnjoku(cle),TE
3,3,41,2,0,0,4.3,loganthomas(sf),TE
4,4,41,0,0,0,4.1,durhamsmythe(mia),TE
4,4,34,0,0,0,3.4,josiahdeguara(jac),TE
3,3,29,0,0,0,2.9,chigoziemokonkwo(ten),TE
4,5,27,0,0,0,2.7,daltonkincaid(buf),TE
2,2,26,0,0,0,2.6,jeremyruckert(nyj),TE
2,4,25,0,0,0,2.5,dallasgoedert(phi),TE
2,5,24,0,0,0,2.4,kylengranson(ind),TE
2,3,24,0,0,0,2.4,t.j.hockenson(min),TE
1,1,7,10,0,0,2.2,taysomhill(no),TE
3,3,21,0,0,0,2.1,darrenwaller(fa),TE
2,4,21,0,0,0,2.1,kylepitts(atl),TE
2,2,18,0,0,0,1.8,roberttonyan(min),TE
2,2,18,0,0,0,1.8,tannerhudson(cin),TE
1,3,12,0,0,0,1.2,mikegesicki(cin),TE
1,1,12,0,0,0,1.2,dawsonknox(buf),TE
1,2,11,0,0,0,1.1,austinhooper(ne),TE
1,1,10,0,0,0,1.0,chrismanhertz(nyg),TE
1,1,10,0,0,0,1.0,darnellwashington(pit),TE
2,2,10,0,0,0,1.0,lukefarrell(jac),TE
2,2,9,0,0,0,0.9,geraldeverett(chi),TE
1,1,9,0,0,0,0.9,georgekittle(sf),TE
1,1,8,0,0,0,0.8,marcedeslewis(chi),TE
2,2,8,0,0,0,0.8,nateadkins(den),TE
1,3,7,0,0,0,0.7,haydenhurst(lac),TE
3,4,7,0,0,0,0.7,patfreiermuth(pit),TE
1,1,7,0,0,0,0.7,mitchellwilcox(ne),TE
1,1,6,0,0,0,0.6,danielbellinger(nyg),TE
1,1,6,0,0,0,0.6,johnbates(was),TE
1,2,6,0,0,0,0.6,jordanakins(cle),TE
1,1,5,0,0,0,0.5,brycenhopkins(fa),TE
1,1,5,0,0,0,0.5,treymcbride(ari),TE
2,2,5,0,0,0,0.5,tuckerkraft(gb),TE
1,1,2,2,0,0,0.4,harrisonbryant(lv),TE
1,1,1,0,0,0,0.1,lukemusgrave(gb),TE
0,0,0,0,0,0,0.0,mitchellfraboni(den),TE
0,0,0,0,0,0,0.0,mattsokol(pit),TE
0,0,0,0,0,0,0.0,mattorzech(gb),TE
0,0,0,0,0,0,0.0,jodyfortsonjr.(mia),TE
0,0,0,0,0,0,0.0,parkerhesse(det),TE
0,0,0,0,0,0,0.0,chrismyarick(jac),TE
0,1,0,0,0,0,0.0,donaldparhamjr.(lac),TE
0,1,0,0,0,0,0.0,adamtrautman(den),TE
0,0,0,0,0,0,0.0,trevonwesco(fa),TE
0,0,0,0,0,0,0.0,n'kealharry(min),TE
0,0,0,0,0,0,0.0,albertokwuegbunamjr.(phi),TE
0,0,0,0,0,0,0.0,tommysweeney(chi),TE
0,0,0,0,0,0,0.0,fostermoreau(no),TE
0,0,0,0,0,0,0.0,jesperhorsted(car),TE
0,0,0,0,0,0,0.0,josholiver(min),TE
0,0,0,0,0,0,0.0,irvsmithjr.(kc),TE
0,0,0,0,0,0,0.0,zachgentry(lv),TE
0,1,0,0,0,0,0.0,andrewbeck(hou),TE
