WR_REC,WR_TGT,WR_REC_YDS,WR_REC_YDS,WR_REC_TD,WR_REC_TD,WR_FPTS,player_name,Position
6,7,120,0,3,0,30.0,stefondiggs(hou),WR
9,13,175,0,2,0,29.5,a.j.brown(phi),WR
7,9,168,0,2,0,28.8,nicocollins(hou),WR
9,10,163,0,1,0,22.3,pukanacua(lar),WR
6,9,85,0,2,0,20.5,justinjefferson(min),WR
7,7,76,0,2,0,19.6,michaelwilson(ari),WR
8,9,131,0,1,0,19.1,djmoore(chi),WR
6,6,148,0,0,0,14.8,brandonaiyuk(sf),WR
3,3,61,0,1,0,12.1,gabedavis(jac),WR
3,3,61,0,1,0,12.1,allenlazard(nyj),WR
4,4,45,11,1,0,11.6,deventhompkins(fa),WR
5,7,56,0,1,0,11.6,amon-rast.brown(det),WR
6,6,43,11,1,0,11.4,braxtonberrios(mia),WR
8,11,114,0,0,0,11.4,chrisgodwin(tb),WR
7,8,51,1,0,1,11.2,curtissamuel(buf),WR
5,6,51,0,1,0,11.1,nickwestbrook-ikhine(ten),WR
4,6,36,12,1,0,10.8,ceedeelamb(dal),WR
2,2,38,0,1,0,9.8,calvinridley(ten),WR
7,10,96,0,0,0,9.6,hollywoodbrown(kc),WR
9,13,95,0,0,0,9.5,romeodoubs(gb),WR
3,4,34,0,1,0,9.4,dkmetcalf(sea),WR
3,5,32,0,1,0,9.2,keenanallen(chi),WR
3,7,28,0,1,0,8.8,drakelondon(atl),WR
4,9,27,0,1,0,8.7,jahandotson(phi),WR
3,5,27,0,1,0,8.7,courtlandsutton(den),WR
8,10,86,0,0,0,8.6,terrymclaurin(was),WR
2,4,25,0,1,0,8.5,christianwatson(gb),WR
8,12,84,0,0,0,8.4,christiankirk(jac),WR
7,8,76,6,0,0,8.2,adamthielen(car),WR
7,9,78,0,0,0,7.8,devontasmith(phi),WR
3,8,77,0,0,0,7.7,joshuapalmer(lac),WR
8,13,75,0,0,0,7.5,davanteadams(lv),WR
3,5,55,0,0,0,7.5,jaydenreed(gb),WR
7,9,73,0,0,0,7.3,ja'marrchase(cin),WR
3,5,58,14,0,0,7.2,tyreekhill(mia),WR
3,6,69,0,0,0,6.9,joshreynolds(den),WR
2,2,16,51,0,0,6.7,deriusdavis(lac),WR
2,3,6,0,1,0,6.6,treypalmer(tb),WR
1,1,4,0,1,0,6.4,brandonjohnson(den),WR
4,6,63,0,0,0,6.3,deandrehopkins(ten),WR
5,6,60,0,0,0,6.0,michaelgallup(fa),WR
9,14,60,0,0,0,6.0,garrettwilson(nyj),WR
9,10,56,0,0,0,5.6,terracemarshalljr.(car),WR
4,6,54,0,0,0,5.4,tylerlockett(sea),WR
4,4,53,0,0,0,5.3,jalentolbert(dal),WR
4,6,53,0,0,0,5.3,michaelthomas(fa),WR
3,5,52,0,0,0,5.2,jerryjeudy(cle),WR
1,1,5,46,0,0,5.1,kavontaeturpin(dal),WR
2,3,51,0,0,0,5.1,dyamibrown(was),WR
4,4,51,0,0,0,5.1,darnellmooney(atl),WR
3,4,56,-6,0,0,5.0,zayflowers(bal),WR
2,2,47,0,0,0,4.7,marvinmimsjr.(den),WR
5,6,40,7,0,0,4.7,wan'dalerobinson(nyg),WR
4,5,46,0,0,0,4.6,jaylenwaddle(mia),WR
2,3,45,0,0,0,4.5,demariodouglas(ne),WR
1,3,44,0,0,0,4.4,chrismoore(ari),WR
3,3,40,0,0,0,4.0,mikeevans(tb),WR
1,1,-2,40,0,0,3.8,kalifraymond(det),WR
1,2,38,0,0,0,3.8,alecpierce(ind),WR
2,3,36,0,0,0,3.6,kendrickbourne(ne),WR
1,1,35,0,0,0,3.5,samoritoure(gb),WR
1,5,15,0,0,0,3.5,michaelpittmanjr.(ind),WR
2,3,34,0,0,0,3.4,joshdowns(ind),WR
3,7,33,0,0,0,3.3,rashidshaheed(no),WR
2,4,33,0,0,0,3.3,jakobimeyers(lv),WR
2,4,33,0,0,0,3.3,devanteparker(fa),WR
3,5,32,0,0,0,3.2,rasheerice(kc),WR
2,3,29,0,0,0,2.9,vanjefferson(pit),WR
3,5,24,5,0,0,2.9,calvinaustiniii(pit),WR
1,3,16,13,0,0,2.9,tankdell(hou),WR
2,3,28,0,0,0,2.8,djcharkjr.(lac),WR
4,4,27,0,0,0,2.7,brandincooks(dal),WR
3,6,26,0,0,0,2.6,robertwoods(hou),WR
4,7,26,0,0,0,2.6,tylerboyd(ten),WR
3,7,25,0,0,0,2.5,georgepickens(pit),WR
3,3,24,0,0,0,2.4,isaiahhodgins(nyg),WR
5,9,24,0,0,0,2.4,tutuatwell(lar),WR
2,3,23,0,0,0,2.3,dariusslayton(nyg),WR
2,2,22,0,0,0,2.2,kadariustoney(kc),WR
2,2,22,0,0,0,2.2,ray-raymccloudiii(atl),WR
1,2,22,0,0,0,2.2,johnmetchieiii(hou),WR
1,1,21,0,0,0,2.1,equanimeousst.brown(no),WR
0,2,0,19,0,0,1.9,skyymoore(kc),WR
2,2,19,0,0,0,1.9,khadarelhodge(atl),WR
0,0,0,19,0,0,1.9,tylerscott(chi),WR
2,4,19,0,0,0,1.9,teehiggins(cin),WR
1,1,12,7,0,0,1.9,laviskashenaultjr.(sea),WR
2,3,18,0,0,0,1.8,trentsherfieldsr.(min),WR
1,3,18,0,0,0,1.8,quentinjohnston(lac),WR
1,1,17,0,0,0,1.7,trentonirwin(cin),WR
1,1,4,13,0,0,1.7,xaviergipson(nyj),WR
1,6,16,0,0,0,1.6,amaricooper(cle),WR
1,2,16,0,0,0,1.6,cedrickwilsonjr.(no),WR
1,2,16,0,0,0,1.6,k.j.osborn(ne),WR
3,5,15,0,0,0,1.5,parriscampbell(phi),WR
1,2,15,0,0,0,1.5,byronpringle(was),WR
1,5,14,0,0,0,1.4,jujusmith-schuster(fa),WR
2,4,12,0,0,0,1.2,hunterrenfrow(fa),WR
1,2,11,0,0,0,1.1,olamidezaccheaus(was),WR
1,1,11,0,0,0,1.1,lil'jordanhumphrey(den),WR
2,2,10,0,0,0,1.0,jalinhyatt(nyg),WR
2,2,10,0,0,0,1.0,deonteharty(bal),WR
3,4,10,0,0,0,1.0,zachpascal(ari),WR
0,0,0,10,0,0,1.0,velusjonesjr.(chi),WR
1,1,10,0,0,0,1.0,codythompson(tb),WR
1,1,9,0,0,0,0.9,williesneadiv(mia),WR
1,2,8,0,0,0,0.8,allenrobinsonii(nyg),WR
2,2,8,0,0,0,0.8,devinduvernay(jac),WR
2,4,8,0,0,0,0.8,randallcobb(fa),WR
1,1,7,0,0,0,0.7,ronniebell(sf),WR
1,4,7,0,0,0,0.7,donovanpeoples-jones(det),WR
1,3,6,0,0,0,0.6,isaiahmckenzie(nyg),WR
1,1,6,0,0,0,0.6,sterlingshepard(tb),WR
0,0,0,6,0,0,0.6,deebosamuelsr.(sf),WR
1,2,6,0,0,0,0.6,marquezvaldes-scantling(buf),WR
3,6,5,0,0,0,0.5,jaxonsmith-njigba(sea),WR
1,3,5,0,0,0,0.5,cedrictillman(cle),WR
1,1,5,0,0,0,0.5,justinwatson(kc),WR
1,2,4,0,0,0,0.4,nelsonagholor(bal),WR
1,6,4,0,0,0,0.4,chrisolave(no),WR
1,1,3,0,0,0,0.3,rakimjarrett(tb),WR
0,0,0,0,0,0,0.0,jaelondarden(cle),WR
0,0,0,0,0,0,0.0,deeeskridge(sea),WR
0,0,0,0,0,0,0.0,chrisblair(atl),WR
0,0,0,0,0,0,0.0,jalenguyton(lv),WR
0,0,0,0,0,0,0.0,d.j.montgomery(ind),WR
0,0,0,0,0,0,0.0,stevensimsjr.(hou),WR
0,0,0,0,0,0,0.0,maliktaylor(nyj),WR
0,0,0,0,0,0,0.0,alexbachman(lv),WR
0,0,0,0,0,0,0.0,nsimbawebster(chi),WR
0,0,0,0,0,0,0.0,tomkennedy(det),WR
0,0,0,0,0,0,0.0,easopwinstonjr.(sea),WR
0,0,0,0,0,0,0.0,quintezcephus(hou),WR
0,0,0,0,0,0,0.0,jamesprocheii(cle),WR
0,0,0,0,0,0,0.0,denzelmims(jac),WR
0,0,0,0,0,0,0.0,gunnerolszewski(nyg),WR
0,0,0,0,0,0,0.0,marcussimms(sea),WR
0,0,0,0,0,0,0.0,kjhamler(buf),WR
0,0,0,0,0,0,0.0,jalenreagor(ne),WR
0,0,0,0,0,0,0.0,keelandoss(fa),WR
0,0,0,0,0,0,0.0,daviondavis(was),WR
0,0,0,0,0,0,0.0,andyisabella(buf),WR
0,0,0,0,0,0,0.0,collinjohnson(chi),WR
0,0,0,0,0,0,0.0,davidsills(den),WR
0,0,0,0,0,0,0.0,gregdortch(ari),WR
0,0,0,0,0,0,0.0,scottymiller(pit),WR
0,0,0,0,0,0,0.0,quintonbell(mia),WR
0,0,0,0,0,0,0.0,tyronbilly-johnson(dal),WR
