player_name,dk_player_id,draftable_id,player_position_id,player_team_id,pos_rank,position,projected_points,rank_ecr,salary,team_abbreviation
aaronjones,741314.0,40972299.0,RB,MIN,RB25,RB,11.3,25.0,5600.0,MIN
aaronrodgers,213957.0,40972208.0,QB,PIT,QB26,QB,13.7,26.0,5100.0,PIT
adamprentice,885540.0,40972465.0,RB,DEN,RB88,RB,0.8,88.0,4000.0,DEN
adamthielen,733643.0,40972288.0,WR,MIN,WR126,WR,1.8,126.0,3000.0,MIN
adamtrautman,875444.0,40972419.0,TE,DEN,TE59,TE,2.3,59.0,2500.0,DEN
adonaimitchell,1285908.0,40973159.0,WR,NYJ,WR54,WR,8.5,54.0,3600.0,NYJ
adrianmartinez,1107584.0,40972670.0,66.0,,,QB,,,4000.0,SF
aidanoconnell,1066811.0,40972641.0,QB,LV,QB43,QB,0.4,43.0,4000.0,LV
ainiassmith,1180328.0,40972968.0,68.0,,,WR,,,3000.0,CAR
ajbarner,1229503.0,40973115.0,TE,SEA,TE21,TE,7.6,21.0,3200.0,SEA
ajhenning,1229541.0,40973119.0,68.0,,,WR,,,3000.0,MIA
albertokwuegbunam,920077.0,40972505.0,69.0,,,TE,,,2500.0,LV
alecingold,880322.0,40972436.0,RB,MIA,RB80,RB,0.9,80.0,4000.0,MIA
alecpierce,1107027.0,40972659.0,WR,IND,WR39,WR,9.9,39.0,4800.0,IND
alexandermattison,944343.0,40972539.0,67.0,,,RB,,,4000.0,MIA
alexbachman,884315.0,40972459.0,WR,LV,WR154,WR,0.0,154.0,3000.0,LV
allenlazard,837958.0,40972382.0,WR,NYJ,WR113,WR,2.5,113.0,3000.0,NYJ
alvinkamara,750846.0,40972320.0,67.0,,,RB,,,5500.0,NO
amarjohnson,1332922.0,40973268.0,RB,LAC,RB90,RB,0.7,90.0,4000.0,LAC
ameerabdullah,590796.0,40972236.0,RB,IND,RB74,RB,1.2,74.0,4000.0,IND
andrebaccellia,865838.0,40972404.0,WR,ARI,WR140,WR,0.5,140.0,3000.0,ARI
andrewbeck,824428.0,40972347.0,TE,NYJ,TE97,RB,0.6,97.0,4000.0,NYJ
andrewdepaola,300580.0,40972212.0,69.0,,,TE,,,2500.0,MIN
