player_name,player_team_id,player_position_id,rank_ecr,pos_rank,projected_points,salary
lamarjackson,BAL,QB,4,QB4,22.8,8000.0
joeburrow,CIN,QB,5,QB5,20.1,7100.0
trevorlawrence,JAC,QB,8,QB8,19.6,6500.0
deshaunwatson,CLE,QB,9,QB9,19.1,6000.0
kirkcousins,MIN,QB,13,QB13,18.7,6300.0
anthonyrichardson,IND,QB,15,QB15,18.3,5600.0
kennypickett,PIT,QB,19,QB19,15.4,5200.0
derekcarr,NO,QB,20,QB20,16.0,5300.0
brockpurdy,SF,QB,21,QB21,14.9,5400.0
samhowell,WAS,QB,24,QB24,16.5,4900.0
bryceyoung,CAR,QB,25,QB25,14.6,5500.0
ryantannehill,TEN,QB,26,QB26,14.1,5200.0
c.j.stroud,HOU,QB,29,QB29,13.9,5400.0
kylermurray,ARI,QB,30,QB30,0.0,5800.0
desmondridder,ATL,QB,31,QB31,14.4,4900.0
bakermayfield,TB,QB,32,QB32,15.6,4900.0
jacobybrissett,WAS,QB,33,QB33,0.6,4800.0
willlevis,TEN,QB,34,QB34,0.4,4700.0
kyletrask,TB,QB,36,QB36,0.8,4600.0
samdarnold,SF,QB,37,QB37,1.2,4600.0
joshuadobbs,ARI,QB,38,QB38,12.5,4600.0
claytontune,ARI,QB,39,QB39,1.0,4000.0
taylorheinicke,ATL,QB,40,QB40,0.7,4700.0
gardnerminshew,IND,QB,41,QB41,0.5,4900.0
jameiswinston,NO,QB,43,QB43,0.4,4800.0
tylerhuntley,BAL,QB,44,QB44,0.6,4800.0
andydalton,CAR,QB,47,QB47,0.6,4600.0
davismills,HOU,QB,49,QB49,0.2,4600.0
malikwillis,TEN,QB,52,QB52,0.4,4000.0
mitchtrubisky,PIT,QB,54,QB54,0.3,4600.0
dorianthompson-robinson,CLE,QB,58,QB58,0.5,4000.0
nickmullens,MIN,QB,62,QB62,0.5,4400.0
c.j.beathard,JAC,QB,64,QB64,0.4,4200.0
casekeenum,HOU,QB,71,QB71,0.0,4000.0
jakebrowning,CIN,QB,72,QB72,0.5,4000.0
jakehaener,NO,QB,76,QB76,0.0,4000.0
masonrudolph,PIT,QB,77,QB77,0.0,4000.0
jarenhall,MIN,QB,78,QB78,0.0,4000.0
samehlinger,IND,QB,83,QB83,0.0,4000.0
brandonallen,SF,QB,85,QB85,0.0,4000.0
jeffdriskel,ARI,QB,87,QB87,0.0,4000.0
johnwolford,TB,QB,89,QB89,0.0,4000.0
feleipefranks,ATL,QB,90,QB90,0.2,2500.0
loganwoodside,ATL,QB,91,QB91,0.0,4000.0
willgrier,CIN,QB,93,QB93,0.0,4000.0
joshjohnson,BAL,QB,94,QB94,0.0,4000.0
jakefromm,WAS,QB,99,QB99,0.0,4000.0
christianmccaffrey,SF,RB,1,RB1,18.2,8700.0
bijanrobinson,ATL,RB,4,RB4,17.2,8000.0
nickchubb,CLE,RB,6,RB6,16.3,8200.0
derrickhenry,TEN,RB,8,RB8,15.9,7800.0
joemixon,CIN,RB,10,RB10,15.2,6800.0
najeeharris,PIT,RB,12,RB12,12.4,6100.0
travisetiennejr.,JAC,RB,13,RB13,14.0,6900.0
dameonpierce,HOU,RB,16,RB16,12.9,5800.0
alexandermattison,MIN,RB,18,RB18,13.9,6500.0
milessanders,CAR,RB,19,RB19,12.4,5600.0
j.k.dobbins,BAL,RB,20,RB20,13.3,6600.0
rachaadwhite,TB,RB,21,RB21,13.3,5500.0
jamesconner,ARI,RB,22,RB22,13.8,6400.0
alvinkamara,NO,RB,26,RB26,0.0,6700.0
jonathantaylor,IND,RB,28,RB28,0.0,7900.0
antoniogibson,WAS,RB,32,RB32,10.0,5200.0
brianrobinsonjr.,WAS,RB,35,RB35,10.5,5100.0
jamaalwilliams,NO,RB,40,RB40,12.0,5100.0
jaylenwarren,PIT,RB,41,RB41,7.1,4600.0
elijahmitchell,SF,RB,45,RB45,6.1,5000.0
tankbigsby,JAC,RB,47,RB47,5.7,5000.0
tylerallgeier,ATL,RB,48,RB48,7.0,5400.0
devinsingletary,HOU,RB,50,RB50,6.2,4700.0
kendremiller,NO,RB,52,RB52,0.0,4300.0
chubahubbard,CAR,RB,53,RB53,5.5,5000.0
tyjaespears,TEN,RB,54,RB54,4.2,4900.0
gusedwards,BAL,RB,56,RB56,5.2,4500.0
jeromeford,CLE,RB,59,RB59,3.8,4200.0
cordarrellepatterson,ATL,RB,62,RB62,0.0,5000.0
tychandler,MIN,RB,64,RB64,5.0,4600.0
zackmoss,IND,RB,65,RB65,0.0,4200.0
evanhull,IND,RB,66,RB66,6.9,4000.0
chaseedmonds,TB,RB,67,RB67,4.4,4200.0
deonjackson,IND,RB,68,RB68,9.8,4100.0
seantucker,TB,RB,69,RB69,4.7,4300.0
chasebrown,CIN,RB,72,RB72,0.0,4700.0
pierrestrongjr.,CLE,RB,74,RB74,2.2,4200.0
keaontayingram,ARI,RB,75,RB75,3.7,4600.0
chrisevans,CIN,RB,78,RB78,3.0,4300.0
jamycalhasty,JAC,RB,84,RB84,2.5,4200.0
jordanmason,SF,RB,85,RB85,1.6,4700.0
d'ernestjohnson,JAC,RB,86,RB86,0.6,4000.0
tyriondavis-price,SF,RB,89,RB89,0.9,4000.0
mylesgaskin,MIN,RB,90,RB90,1.8,4000.0
trayveonwilliams,CIN,RB,94,RB94,2.6,4000.0
dewaynemcbride,MIN,RB,96,RB96,0.4,4000.0
melvingordon,BAL,RB,97,RB97,0.1,4600.0
ke'shawnvaughn,TB,RB,99,RB99,1.5,4200.0
justicehill,BAL,RB,102,RB102,1.9,4000.0
chrisrodriguezjr.,WAS,RB,103,RB103,1.8,4000.0
raheemblackshear,CAR,RB,104,RB104,2.5,4000.0
kenenwangwu,MIN,RB,106,RB106,0.0,4000.0
kylejuszczyk,SF,RB,112,RB112,1.9,4000.0
juliuschestnut,TEN,RB,114,RB114,1.3,4000.0
mikeboone,HOU,RB,115,RB115,1.1,4000.0
keatonmitchell,BAL,RB,116,RB116,0.0,4000.0
emaridemercado,ARI,RB,123,RB123,1.5,4000.0
anthonymcfarlandjr.,PIT,RB,126,RB126,1.3,4000.0
coreyclement,ARI,RB,130,RB130,0.0,4500.0
dareogunbowale,HOU,RB,131,RB131,1.5,4000.0
patrickricard,BAL,RB,136,RB136,0.9,4000.0
c.j.ham,MIN,RB,137,RB137,1.5,4000.0
snoopconner,JAC,RB,143,RB143,0.0,4000.0
keithsmith,ATL,RB,144,RB144,0.4,4000.0
tonyjonesjr.,NO,RB,149,RB149,1.4,4500.0
adamprentice,NO,RB,150,RB150,0.6,4000.0
godwinigwebuike,ATL,RB,154,RB154,0.2,4000.0
zanderhorvath,PIT,RB,156,RB156,0.0,4000.0
spencerbrown,CAR,RB,164,RB164,0.0,4000.0
justinjefferson,MIN,WR,1,WR1,19.0,8800.0
ja'marrchase,CIN,WR,2,WR2,17.9,8100.0
chrisolave,NO,WR,11,WR11,15.6,6500.0
teehiggins,CIN,WR,13,WR13,13.3,6800.0
calvinridley,JAC,WR,17,WR17,14.1,6500.0
amaricooper,CLE,WR,18,WR18,13.8,5800.0
deebosamuel,SF,WR,19,WR19,13.5,5500.0
deandrehopkins,TEN,WR,20,WR20,12.2,6900.0
chrisgodwin,TB,WR,22,WR22,14.0,5900.0
drakelondon,ATL,WR,23,WR23,12.3,5400.0
diontaejohnson,PIT,WR,24,WR24,12.4,5300.0
terrymclaurin,WAS,WR,27,WR27,12.7,6400.0
brandonaiyuk,SF,WR,28,WR28,11.2,4900.0
christiankirk,JAC,WR,30,WR30,12.9,5600.0
mikeevans,TB,WR,31,WR31,13.4,6300.0
michaelpittmanjr.,IND,WR,32,WR32,11.8,6200.0
jahandotson,WAS,WR,33,WR33,12.0,5000.0
marquisebrown,ARI,WR,34,WR34,11.4,5200.0
georgepickens,PIT,WR,36,WR36,11.0,5000.0
jordanaddison,MIN,WR,37,WR37,10.2,5100.0
zayflowers,BAL,WR,42,WR42,10.6,4000.0
treylonburks,TEN,WR,43,WR43,9.9,5000.0
elijahmoore,CLE,WR,45,WR45,8.9,3800.0
michaelthomas,NO,WR,47,WR47,11.3,5100.0
rashodbateman,BAL,WR,49,WR49,11.8,5300.0
nicocollins,HOU,WR,50,WR50,10.4,4700.0
odellbeckhamjr.,BAL,WR,55,WR55,10.4,5000.0
adamthielen,CAR,WR,56,WR56,9.4,4600.0
zayjones,JAC,WR,57,WR57,9.4,4500.0
tylerboyd,CIN,WR,58,WR58,8.4,4100.0
rondalemoore,ARI,WR,60,WR60,8.2,4200.0
djcharkjr.,CAR,WR,64,WR64,0.0,3900.0
jonathanmingo,CAR,WR,65,WR65,9.1,3200.0
donovanpeoples-jones,CLE,WR,67,WR67,7.7,4300.0
k.j.osborn,MIN,WR,69,WR69,7.7,4300.0
curtissamuel,WAS,WR,71,WR71,8.1,4200.0
alecpierce,IND,WR,72,WR72,7.7,3800.0
rashidshaheed,NO,WR,77,WR77,7.9,3700.0
robertwoods,HOU,WR,80,WR80,8.0,5000.0
johnmetchie,HOU,WR,85,WR85,0.0,3600.0
allenrobinson,PIT,WR,86,WR86,5.9,3700.0
joshdowns,IND,WR,87,WR87,4.3,3100.0
terracemarshalljr.,CAR,WR,89,WR89,5.9,3400.0
tankdell,HOU,WR,92,WR92,5.7,3000.0
mackhollins,ATL,WR,94,WR94,6.1,3900.0
michaelwilson,ARI,WR,100,WR100,6.1,3000.0
laviskashenaultjr.,CAR,WR,102,WR102,5.6,3100.0
