player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
lamarjackson,QB,4,QB4,20.8,7800.0
tuatagovailoa,QB,5,QB5,19.9,7100.0
anthonyrichardson,QB,6,QB6,19.1,7000.0
jaredgoff,QB,12,QB12,17.3,6300.0
c.j.stroud,QB,15,QB15,16.8,6000.0
danieljones,QB,16,QB16,16.6,5800.0
ryantannehill,QB,23,QB23,14.5,4900.0
bryceyoung,QB,24,QB24,14.1,5100.0
macjones,QB,25,QB25,13.8,5100.0
derekcarr,QB,26,QB26,13.6,5300.0
desmondridder,QB,27,QB27,13.5,4900.0
kennypickett,QB,28,QB28,13.2,5000.0
mitchtrubisky,QB,29,QB29,0.0,5000.0
jameiswinston,QB,30,QB30,0.0,4800.0
andydalton,QB,32,QB32,0.0,4800.0
baileyzappe,QB,33,QB33,0.0,4600.0
taylorheinicke,QB,35,QB35,0.0,4500.0
bijanrobinson,RB,2,RB2,19.9,7700.0
davidmontgomery,RB,3,RB3,17.4,6600.0
derrickhenry,RB,6,RB6,17.0,7500.0
de'vonachane,RB,9,RB9,15.3,6100.0
alvinkamara,RB,12,RB12,14.8,6300.0
raheemmostert,RB,19,RB19,13.8,6200.0
rhamondrestevenson,RB,20,RB20,13.4,5600.0
dameonpierce,RB,22,RB22,12.8,5300.0
jonathantaylor,RB,23,RB23,12.7,6800.0
milessanders,RB,24,RB24,12.6,5200.0
najeeharris,RB,26,RB26,11.3,5400.0
jaylenwarren,RB,27,RB27,10.7,4900.0
gusedwards,RB,28,RB28,10.1,5000.0
tylerallgeier,RB,30,RB30,9.0,4700.0
tyjaespears,RB,31,RB31,9.0,4800.0
mattbreida,RB,33,RB33,7.5,5200.0
chubahubbard,RB,34,RB34,7.3,4500.0
ezekielelliott,RB,40,RB40,6.4,4700.0
zackmoss,RB,41,RB41,6.4,5800.0
justicehill,RB,43,RB43,6.0,4400.0
devinsingletary,RB,44,RB44,5.8,4400.0
kendremiller,RB,54,RB54,4.1,4200.0
craigreynolds,RB,56,RB56,3.2,4400.0
melvingordon,RB,57,RB57,3.2,4600.0
garybrightwell,RB,62,RB62,2.9,4600.0
saquonbarkley,RB,64,RB64,2.5,8100.0
cordarrellepatterson,RB,66,RB66,2.0,4000.0
alecingold,RB,68,RB68,1.7,4000.0
mikeboone,RB,70,RB70,1.3,4000.0
jahmyrgibbs,RB,72,RB72,1.1,5900.0
zonovanknight,RB,74,RB74,0.9,4000.0
treysermon,RB,76,RB76,0.9,4000.0
keatonmitchell,RB,77,RB77,0.7,4000.0
tymontgomery,RB,78,RB78,0.7,3000.0
salvonahmed,RB,80,RB80,0.7,4500.0
kenyandrake,RB,82,RB82,0.5,4300.0
adamprentice,RB,83,RB83,0.6,4000.0
patrickricard,RB,86,RB86,0.4,4000.0
ericgray,RB,91,RB91,0.4,4000.0
keithsmith,RB,92,RB92,0.3,4000.0
chrisbrooks,RB,94,RB94,0.3,4000.0
tyreekhill,WR,2,WR2,21.4,9000.0
jaylenwaddle,WR,10,WR10,15.1,7500.0
