player_name,player_position_id,rank_ecr,pos_rank,projected_points,salary
jalenhurts,QB,3,QB3,21.1,8000.0
lamarjackson,QB,4,QB4,20.3,8200.0
dakprescott,QB,7,QB7,17.8,6500.0
samhowell,QB,9,QB9,16.8,5800.0
c.j.stroud,QB,10,QB10,16.3,6200.0
derekcarr,QB,11,QB11,15.8,5700.0
gardnerminshew,QB,12,QB12,15.5,5200.0
jordanlove,QB,13,QB13,15.3,5500.0
danieljones,QB,14,QB14,15.0,5600.0
bryceyoung,QB,15,QB15,14.9,5100.0
bakermayfield,QB,16,QB16,14.7,5200.0
genosmith,QB,17,QB17,14.5,6000.0
deshaunwatson,QB,18,QB18,14.3,5400.0
macjones,QB,19,QB19,14.2,4900.0
taylorheinicke,QB,22,QB22,13.6,5000.0
aidano'connell,QB,24,QB24,13.0,4500.0
jarenhall,QB,25,QB25,12.6,4800.0
tysonbagent,QB,26,QB26,11.5,4900.0
brettrypien,QB,27,QB27,10.4,4700.0
claytontune,QB,28,QB28,9.1,4400.0
matthewstafford,QB,29,QB29,7.1,6300.0
p.j.walker,QB,30,QB30,0.0,4800.0
joshuadobbs,QB,31,QB31,0.0,5300.0
jimmygaroppolo,QB,34,QB34,0.0,5100.0
desmondridder,QB,35,QB35,0.0,4800.0
tylerhuntley,QB,36,QB36,0.0,4600.0
tommydevito,QB,37,QB37,0.0,4800.0
andydalton,QB,38,QB38,0.0,4500.0
baileyzappe,QB,39,QB39,0.0,4500.0
alvinkamara,RB,1,RB1,19.6,8100.0
saquonbarkley,RB,2,RB2,18.7,7900.0
joshjacobs,RB,5,RB5,16.0,6900.0
jonathantaylor,RB,7,RB7,15.2,6400.0
bijanrobinson,RB,8,RB8,15.0,6100.0
d'andreswift,RB,9,RB9,15.0,6600.0
tonypollard,RB,12,RB12,14.0,6800.0
rachaadwhite,RB,14,RB14,13.7,5600.0
rhamondrestevenson,RB,15,RB15,13.6,5400.0
aaronjones,RB,16,RB16,13.4,6200.0
kennethwalker,RB,17,RB17,13.2,7000.0
chubahubbard,RB,19,RB19,12.0,5000.0
kareemhunt,RB,20,RB20,11.8,5500.0
devinsingletary,RB,21,RB21,11.5,4300.0
zackmoss,RB,22,RB22,11.2,5800.0
gusedwards,RB,23,RB23,11.1,5900.0
jeromeford,RB,24,RB24,10.6,5300.0
roycefreeman,RB,25,RB25,10.3,4600.0
brianrobinsonjr.,RB,27,RB27,10.1,5300.0
alexandermattison,RB,28,RB28,9.9,5400.0
darrellhendersonjr.,RB,30,RB30,9.0,5100.0
ajdillon,RB,31,RB31,9.0,4900.0
d'ontaforeman,RB,32,RB32,8.8,5700.0
keaontayingram,RB,33,RB33,8.4,4300.0
roschonjohnson,RB,34,RB34,7.7,4500.0
tylerallgeier,RB,35,RB35,7.7,4700.0
ezekielelliott,RB,36,RB36,7.7,4400.0
justicehill,RB,37,RB37,7.2,4600.0
camakers,RB,38,RB38,6.9,4800.0
zachcharbonnet,RB,40,RB40,6.7,4300.0
antoniogibson,RB,42,RB42,6.3,4500.0
milessanders,RB,43,RB43,6.2,4500.0
kennethgainwell,RB,46,RB46,5.9,4500.0
pierrestrongjr.,RB,47,RB47,5.6,4400.0
jamaalwilliams,RB,49,RB49,5.5,4300.0
darryntonevans,RB,50,RB50,4.2,4000.0
ricodowdle,RB,51,RB51,4.2,4300.0
chaseedmonds,RB,52,RB52,4.2,4100.0
mikeboone,RB,54,RB54,3.5,4000.0
cordarrellepatterson,RB,57,RB57,3.3,4300.0
mattbreida,RB,58,RB58,2.8,4300.0
raheemblackshear,RB,59,RB59,2.5,4200.0
kendremiller,RB,60,RB60,2.3,4200.0
ameerabdullah,RB,61,RB61,2.2,4200.0
tonyjonesjr.,RB,63,RB63,2.1,4100.0
chrisrodriguezjr.,RB,64,RB64,2.0,4000.0
