player_name,player_position_id,rank_ecr,note,tag,recommendation,pos_rank,projected_points,salary
patrickmahomes,QB,1,"I don't have to waste my time telling you to start Mahomes. If he has a functioning throwing arm and two legs to move around the pocket, you play Mahomes. Chicago does offer a good spot for Mahomes to post a ceiling performance. The Bears have allowed the second-highest yards per attempt, the highest passer rating, and the tenth-highest CPOE on deep balls. Week 3 Positional Value: Top-five QB weekly",,,QB1,24.9,8300.0
joshallen,QB,3,"Allen bounced back from a dreadful Week 1 performance with a masterful Week 2. He was seventh in passing grade, second in adjusted completion rate, and second in passer rating. Allen will uncork some deep balls against this secondary in Week 3. Washington has been dreadful so far, allowing the tenth-highest yards per attempt, the 12th-highest quarterback rating, and the ninth-highest adjusted completion rate. Allen should have plenty of time in the pocket against a pass rush that ranks 15th in pressure rate and 18th in blitz rate. This will allow Allen to chuck dimes against a secondary that's also permitted the highest yards per attempt, the fifth-highest passer rating, and the ninth-highest adjusted completion rate on throws of 20-plus yards. Week 3 Positional Value: Top-three QB",,,QB3,22.1,8100.0
lamarjackson,QB,4,"Jackson might be the QB21 in fantasy, but he's not playing like a scrub by any means. Jackson is eighth in passing grade, ninth in yards per attempt, and sixth in big-time throw rate. Jackson is headed for a ceiling week against Indy's zone defense (82-83% zone for their starting corners). This season against zone, Jackson has the eighth-highest yards per attempt and sixth-highest passer rating. Indy's young secondary has struggled to open the season. They have allowed the fifth-highest yards per attempt, third-most passing touchdowns (tied), and the seventh-highest passer rating. Week 3 Positional Value: Top-five QB",,,QB4,21.1,7700.0
justinherbert,QB,5,"Herbert is playing good football as the QB3 in fantasy. He is 16th in passing grade and tenth in passer rating. He should thrive against Minnesota's zone coverage (86-90%!!! of their corner back's snaps). Minnesota has allowed the 14th-highest yards per attempt, tenth-highest passer rating, and the 12th-highest adjusted completion rate. Herbert has ripped zone in half this season, ranking second in yards per attempt, third in passer rating, and 12th in fantasy points per dropback. Week 3 Positional Value: top-five QB",,,QB5,20.6,7500.0
kirkcousins,QB,6,"The van driving Kohls wearing dad of the year is the QB1 in fantasy. Yes, you read that correctly. Cousins is at the top of the hill. He has been outstanding, running seventh in passing grade, third in yards per attempt, and eighth in adjusted completion rate. The Chargers pass defense has been paper thin, giving up the highest yards per attempt, the third-highest passer rating, and the eighth-highest adjusted completion rate. Los Angeles has defended the ninth-most dropbacks (tied) in man coverage. Cousins has been otherworldly against man this season, ranking first in yards per attempt, first in passer rating, and 13th in adjusted completion rate. Week 3 Positional Value: Top-eight QB",start,,QB6,20.1,6900.0
tuatagovailoa,QB,7,"Tagovailoa has been balling out. He's the QB6 in fantasy, ranking first in passing grade, first in yards per attempt, and second in big-time throw rate. He should shred a Denver pass defense that's allowed the seventh-highest yards per attempt and fourth-highest passer rating. Denver has allowed the 13th-most fantasy points per game despite facing the 14th-fewest passing attempts. Tagovailoa should have plenty of time in the pocket. Denver has the 11th-highest blitz rate but has generated the second-lowest pressure rate. Tagovailoa has destroyed the blitz this season with the highest passing grade and 11th-best yards per attempt. Week 3 Positional Value: Top shelf QB1",,,QB7,19.5,7000.0
trevorlawrence,QB,8,"Lawrence has been up and down so far, but his highs have been electric. He's 20th in adjusted completion rate, ranking second in passing grade and first in big-time throw rate. Lawrence is primed for a monster day against Houston's pass defense. They have given up the ninth-highest yards per attempt, the 11th-highest passer rating, and the second-highest adjusted completion rate. Look for Lawrence to chuck it deep constantly against a secondary, permitting the second-highest adjusted completion rate and third-highest passer rating to deep throws. Week 3 Positional Value: high-end QB1",start,,QB8,18.8,6800.0
justinfields,QB,9,"It hasn't been pretty. Fields is struggling. I could go on a long rant about Luke Getsy's play calling, the offensive play designs, the blocking assignments and protections, the abysmal offensive line play, etc., but I won't. None of those things will help you decide to risk it or shy away this week with Fields in Fantasy. Fields addressed the media this week, and to quickly paraphrase, he said he will play more like himself, which I interpret as he will grip it, rip it, and run more this week. I'm here for all of that. His numbers are rough but must be mentioned here. Fields has the fifth-lowest passing grade, tenth-lowest yards per attempt, and ninth-lowest adjusted completion rate. The Chiefs are a nasty defense against quarterbacks, allowing the seventh-lowest yards per attempt, eighth-lowest passer rating, and the sixth-fewest fantasy points per game. Outside of producing fantasy points with his legs, Fields can create chunk plays with the deep ball this week against a secondary that was susceptible to it last season. Last year, Kansas City allowed the sixth-highest passer rating and seventh-most (tied) deep passing touchdowns. This is the one area Fields has been able to rise above this season. Among 30 quarterbacks with at least four deep attempts, Fields ranks second in deep passing grade and first in deep adjusted completion rate. Week 3 Positional Value: QB1",start,,QB9,18.3,7100.0
dakprescott,QB,10,"Prescott has been game-managing. He's 15th in passing grade with the ninth-lowest yards per attempt, fourth-lowest aDOT, and the seventh-highest adjusted completion rate. This could be the week Mike McCarthy lets him rip it. Arizona has allowed the sixth-highest yards per attempt, the 11th-highest adjusted completion rate, and the third-most fantasy points to quarterbacks. Week 3 Positional Value: QB2 with QB1 upside",sit,,QB10,17.9,6600.0
deshaunwatson,QB,11,"I warned everyone this offseason that 2022 Watson could be quite similar this season. The former magic he possessed on an NFL field looks to be gone. Watson has the 12th-lowest passing grade, third-lowest yards per attempt, and second-lowest adjusted completion rate. He is 19th in fantasy points per dropback. That said, this is the matchup for Watson to turn his fortunes around. If it can happen in 2023, it should start in Week 3 against a burnable Titans' pass defense. Tennessee has permitted the fourth-highest yards per attempt, eighth-highest passer rating, and the 12th-most fantasy points per game to opposing quarterbacks. Week 3 Positional Value: QB2 with QB1 upside this week",,,QB11,17.6,6100.0
